,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0,9.05,0.77,5.05,-0.11,0.03,-0.01
1,9.05,0.77,5.06,-0.11,0.02,-0.01
2,9.05,0.77,5.06,-0.11,0.02,-0.01
3,9.05,0.76,5.06,-0.11,0.02,-0.01
4,9.05,0.76,5.06,-0.11,0.02,-0.01
5,9.05,0.75,5.06,-0.11,0.02,-0.01
6,9.05,0.75,5.06,-0.11,0.02,-0.01
7,9.05,0.75,5.06,-0.11,0.02,-0.01
8,9.06,0.74,5.06,-0.11,0.02,-0.01
9,9.06,0.74,5.06,-0.11,0.02,-0.01
10,9.06,0.74,5.06,-0.11,0.02,-0.01
11,9.06,0.73,5.06,-0.11,0.02,-0.01
12,9.06,0.73,5.05,-0.11,0.02,-0.01
13,9.06,0.73,5.05,-0.11,0.02,-0.01
14,9.07,0.73,5.05,-0.11,0.02,-0.01
15,9.07,0.72,5.04,-0.11,0.02,-0.01
16,9.07,0.72,5.04,-0.11,0.02,-0.01
17,9.07,0.72,5.04,-0.11,0.03,-0.01
18,9.08,0.72,5.03,-0.11,0.03,-0.01
19,9.08,0.72,5.03,-0.11,0.03,-0.01
20,9.08,0.72,5.03,-0.11,0.03,-0.01
21,9.08,0.72,5.02,-0.11,0.03,-0.01
22,9.08,0.72,5.02,-0.11,0.04,-0.01
23,9.09,0.72,5.02,-0.11,0.04,-0.01
24,9.09,0.72,5.01,-0.11,0.04,-0.01
25,9.09,0.72,5.01,-0.11,0.04,-0.01
26,9.09,0.72,5.0,-0.11,0.04,-0.01
27,9.09,0.73,5.0,-0.11,0.04,-0.02
28,9.09,0.73,5.0,-0.11,0.04,-0.02
29,9.09,0.73,4.99,-0.11,0.05,-0.02
30,9.09,0.73,4.99,-0.11,0.05,-0.02
31,9.09,0.73,4.99,-0.11,0.05,-0.02
32,9.09,0.74,4.98,-0.1,0.05,-0.02
33,9.1,0.74,4.98,-0.1,0.05,-0.02
34,9.1,0.74,4.98,-0.1,0.05,-0.02
35,9.1,0.74,4.97,-0.1,0.05,-0.02
36,9.1,0.74,4.97,-0.1,0.05,-0.02
37,9.1,0.75,4.97,-0.1,0.05,-0.02
38,9.1,0.75,4.97,-0.1,0.05,-0.02
39,9.1,0.75,4.96,-0.1,0.05,-0.02
40,9.1,0.75,4.96,-0.1,0.05,-0.02
41,9.1,0.75,4.96,-0.1,0.05,-0.02
42,9.1,0.75,4.95,-0.1,0.04,-0.02
43,9.1,0.76,4.95,-0.1,0.04,-0.01
44,9.1,0.76,4.95,-0.1,0.04,-0.01
45,9.1,0.76,4.94,-0.1,0.04,-0.01
46,9.1,0.76,4.94,-0.1,0.04,-0.01
47,9.1,0.76,4.94,-0.1,0.04,-0.01
48,9.1,0.76,4.93,-0.1,0.04,-0.01
49,9.1,0.76,4.93,-0.11,0.04,-0.01
50,9.11,0.76,4.93,-0.11,0.04,-0.01
