STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0,8.94,-0.56,5.24,-0.11,0.06,-0.01
1,8.94,-0.56,5.24,-0.11,0.06,-0.01
2,8.94,-0.56,5.24,-0.11,0.06,-0.01
3,8.94,-0.55,5.24,-0.11,0.06,-0.01
4,8.94,-0.55,5.24,-0.11,0.06,-0.01
5,8.94,-0.55,5.24,-0.11,0.06,-0.01
6,8.94,-0.54,5.24,-0.11,0.06,-0.01
7,8.94,-0.54,5.24,-0.11,0.06,-0.01
8,8.94,-0.54,5.24,-0.11,0.06,-0.01
9,8.94,-0.54,5.24,-0.11,0.06,-0.01
10,8.94,-0.53,5.24,-0.11,0.06,-0.01
11,8.94,-0.53,5.24,-0.11,0.06,-0.01
12,8.94,-0.53,5.24,-0.11,0.06,-0.01
13,8.94,-0.53,5.24,-0.11,0.06,-0.01
14,8.94,-0.53,5.24,-0.11,0.06,-0.01
15,8.94,-0.53,5.24,-0.11,0.06,-0.01
16,8.94,-0.53,5.24,-0.11,0.06,-0.01
17,8.94,-0.53,5.24,-0.11,0.06,-0.01
18,8.93,-0.53,5.24,-0.11,0.06,-0.01
19,8.93,-0.53,5.24,-0.11,0.06,-0.01
20,8.93,-0.53,5.25,-0.11,0.05,-0.01
21,8.93,-0.53,5.25,-0.11,0.05,-0.01
22,8.93,-0.53,5.25,-0.11,0.05,-0.01
23,8.93,-0.54,5.25,-0.11,0.05,-0.01
24,8.93,-0.54,5.25,-0.11,0.05,-0.01
25,8.94,-0.54,5.25,-0.11,0.05,-0.01
26,8.94,-0.54,5.25,-0.11,0.05,-0.01
27,8.94,-0.54,5.25,-0.11,0.05,-0.01
28,8.94,-0.54,5.25,-0.11,0.05,-0.01
29,8.94,-0.54,5.25,-0.11,0.05,-0.01
30,8.94,-0.54,5.24,-0.11,0.05,-0.01
31,8.94,-0.54,5.24,-0.11,0.05,-0.01
32,8.94,-0.54,5.24,-0.11,0.05,-0.01
33,8.94,-0.54,5.24,-0.11,0.05,-0.01
34,8.94,-0.54,5.24,-0.11,0.05,-0.01
35,8.94,-0.54,5.24,-0.11,0.05,-0.01
36,8.94,-0.54,5.24,-0.11,0.05,-0.01
37,8.95,-0.54,5.23,-0.11,0.05,-0.01
38,8.95,-0.54,5.23,-0.11,0.05,-0.01
39,8.95,-0.54,5.23,-0.11,0.05,-0.01
40,8.95,-0.54,5.23,-0.11,0.05,-0.01
41,8.95,-0.54,5.22,-0.11,0.04,-0.01
42,8.95,-0.54,5.22,-0.11,0.04,-0.01
43,8.96,-0.54,5.21,-0.11,0.04,-0.01
44,8.96,-0.54,5.21,-0.11,0.04,-0.01
45,8.96,-0.54,5.21,-0.11,0.04,-0.01
46,8.96,-0.54,5.2,-0.11,0.04,-0.01
47,8.96,-0.54,5.2,-0.11,0.04,-0.01
48,8.96,-0.54,5.19,-0.11,0.04,-0.01
49,8.96,-0.54,5.19,-0.11,0.04,-0.01
50,8.96,-0.54,5.19,-0.11,0.05,-0.01
