,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0,8.91,0.58,5.32,-0.11,0.05,-0.01
1,8.91,0.58,5.33,-0.11,0.05,-0.01
2,8.91,0.59,5.33,-0.11,0.05,-0.01
3,8.9,0.59,5.34,-0.11,0.05,-0.01
4,8.9,0.59,5.34,-0.11,0.05,-0.01
5,8.9,0.59,5.35,-0.11,0.05,-0.01
6,8.9,0.59,5.36,-0.11,0.05,-0.01
7,8.89,0.59,5.36,-0.11,0.05,-0.01
8,8.89,0.59,5.37,-0.11,0.05,-0.01
9,8.89,0.59,5.37,-0.11,0.05,-0.01
10,8.89,0.59,5.38,-0.11,0.05,-0.01
11,8.88,0.59,5.38,-0.11,0.06,-0.01
12,8.88,0.59,5.39,-0.11,0.06,-0.01
13,8.88,0.59,5.39,-0.11,0.06,-0.01
14,8.88,0.59,5.4,-0.11,0.06,-0.01
15,8.87,0.59,5.4,-0.11,0.06,-0.01
16,8.87,0.59,5.4,-0.11,0.06,-0.01
17,8.87,0.59,5.41,-0.11,0.06,-0.01
18,8.87,0.59,5.41,-0.11,0.06,-0.01
19,8.87,0.59,5.41,-0.11,0.06,-0.01
20,8.87,0.59,5.41,-0.11,0.06,-0.01
21,8.87,0.59,5.41,-0.11,0.06,-0.01
22,8.87,0.59,5.42,-0.11,0.06,-0.01
23,8.87,0.59,5.42,-0.11,0.06,-0.01
24,8.87,0.59,5.42,-0.11,0.06,-0.01
25,8.87,0.59,5.42,-0.11,0.05,-0.01
26,8.87,0.59,5.42,-0.11,0.05,-0.01
27,8.87,0.59,5.42,-0.11,0.05,-0.01
28,8.87,0.59,5.41,-0.11,0.05,-0.01
29,8.87,0.59,5.41,-0.11,0.05,-0.01
30,8.87,0.59,5.41,-0.11,0.05,-0.01
31,8.87,0.59,5.41,-0.11,0.05,-0.01
32,8.87,0.59,5.41,-0.11,0.05,-0.01
33,8.87,0.59,5.41,-0.11,0.05,-0.01
34,8.87,0.59,5.41,-0.11,0.05,-0.01
35,8.87,0.59,5.4,-0.11,0.05,-0.01
36,8.87,0.59,5.4,-0.11,0.05,-0.01
37,8.87,0.59,5.4,-0.11,0.05,-0.01
38,8.88,0.59,5.4,-0.11,0.05,-0.01
39,8.88,0.59,5.4,-0.11,0.05,-0.01
40,8.88,0.59,5.39,-0.11,0.05,-0.01
41,8.88,0.59,5.39,-0.11,0.05,-0.01
42,8.88,0.59,5.39,-0.11,0.05,-0.01
43,8.88,0.59,5.39,-0.11,0.05,-0.01
44,8.88,0.59,5.39,-0.11,0.04,-0.01
45,8.88,0.59,5.39,-0.11,0.04,-0.01
46,8.88,0.59,5.38,-0.11,0.04,-0.01
47,8.88,0.59,5.38,-0.11,0.04,-0.01
48,8.89,0.59,5.38,-0.11,0.04,-0.01
49,8.89,0.59,5.38,-0.11,0.04,-0.01
50,8.89,0.59,5.38,-0.11,0.04,-0.01
51,8.89,0.58,5.37,-0.11,0.04,-0.01
52,8.89,0.58,5.37,-0.11,0.04,-0.01
53,8.89,0.58,5.37,-0.11,0.04,-0.01
54,8.89,0.58,5.37,-0.11,0.04,-0.01
55,8.9,0.58,5.36,-0.11,0.04,-0.01
56,8.9,0.58,5.36,-0.11,0.03,-0.01
57,8.9,0.58,5.36,-0.11,0.03,-0.01
58,8.9,0.58,5.35,-0.11,0.03,-0.01
59,8.91,0.58,5.35,-0.11,0.03,-0.01
60,8.91,0.58,5.34,-0.11,0.03,-0.01
61,8.91,0.58,5.34,-0.11,0.03,-0.01
62,8.91,0.58,5.33,-0.11,0.03,-0.01
63,8.92,0.58,5.33,-0.11,0.03,-0.01
64,8.92,0.58,5.32,-0.11,0.03,-0.01
65,8.92,0.58,5.32,-0.11,0.03,-0.01
66,8.93,0.58,5.31,-0.11,0.03,-0.01
67,8.93,0.58,5.3,-0.11,0.03,-0.01
68,8.94,0.58,5.3,-0.11,0.03,-0.01
69,8.94,0.58,5.29,-0.11,0.03,-0.01
70,8.94,0.58,5.28,-0.11,0.03,-0.01
71,8.95,0.57,5.28,-0.11,0.03,-0.01
72,8.95,0.57,5.27,-0.11,0.03,-0.01
73,8.95,0.57,5.26,-0.11,0.03,-0.01
74,8.96,0.57,5.25,-0.11,0.03,-0.01
75,8.96,0.57,5.25,-0.11,0.03,-0.01
76,8.96,0.57,5.24,-0.11,0.03,-0.01
77,8.97,0.57,5.23,-0.11,0.03,-0.01
78,8.97,0.57,5.23,-0.11,0.03,-0.01
79,8.97,0.57,5.22,-0.11,0.04,-0.01
80,8.98,0.57,5.22,-0.11,0.04,-0.01
81,8.98,0.57,5.21,-0.11,0.04,-0.01
82,8.98,0.57,5.21,-0.11,0.04,-0.01
83,8.98,0.57,5.2,-0.11,0.04,-0.01
84,8.98,0.57,5.2,-0.11,0.04,-0.01
85,8.98,0.57,5.2,-0.11,0.05,-0.01
86,8.99,0.57,5.19,-0.11,0.05,-0.01
87,8.99,0.57,5.19,-0.11,0.05,-0.01
88,8.99,0.57,5.19,-0.11,0.05,-0.01
89,8.99,0.57,5.19,-0.11,0.05,-0.01
90,8.99,0.57,5.19,-0.11,0.06,-0.01
91,8.98,0.57,5.19,-0.11,0.06,-0.01
92,8.98,0.57,5.2,-0.11,0.06,-0.01
93,8.98,0.57,5.2,-0.11,0.06,-0.01
94,8.98,0.57,5.2,-0.11,0.06,-0.01
95,8.98,0.57,5.21,-0.11,0.07,-0.01
96,8.97,0.57,5.21,-0.11,0.07,-0.01
97,8.97,0.57,5.22,-0.11,0.07,-0.01
98,8.97,0.57,5.22,-0.11,0.07,-0.01
99,8.97,0.57,5.23,-0.11,0.07,-0.01
100,8.96,0.57,5.24,-0.11,0.07,-0.01
101,8.96,0.57,5.24,-0.11,0.08,-0.01
102,8.95,0.57,5.25,-0.11,0.08,-0.01
103,8.95,0.57,5.26,-0.11,0.08,-0.01
104,8.95,0.57,5.26,-0.11,0.08,-0.01
105,8.94,0.57,5.27,-0.11,0.08,-0.01
106,8.94,0.57,5.28,-0.11,0.08,-0.01
107,8.94,0.57,5.29,-0.11,0.08,-0.01
108,8.93,0.57,5.3,-0.11,0.08,-0.01
109,8.93,0.57,5.3,-0.11,0.08,-0.01
110,8.92,0.57,5.31,-0.11,0.08,-0.01
111,8.92,0.57,5.32,-0.11,0.08,-0.01
112,8.92,0.57,5.32,-0.11,0.08,-0.01
113,8.91,0.57,5.33,-0.11,0.08,-0.01
114,8.91,0.57,5.34,-0.11,0.08,-0.01
115,8.91,0.58,5.34,-0.11,0.08,-0.01
116,8.91,0.58,5.35,-0.11,0.07,-0.01
117,8.9,0.58,5.35,-0.11,0.07,-0.01
118,8.9,0.58,5.36,-0.11,0.07,-0.01
119,8.9,0.58,5.36,-0.11,0.07,-0.01
120,8.9,0.58,5.37,-0.11,0.07,-0.01
121,8.89,0.58,5.37,-0.11,0.07,-0.01
122,8.89,0.58,5.37,-0.11,0.07,-0.01
123,8.89,0.58,5.38,-0.11,0.07,-0.01
124,8.89,0.58,5.38,-0.11,0.07,-0.01
125,8.89,0.58,5.38,-0.11,0.06,-0.01
126,8.89,0.58,5.38,-0.11,0.06,-0.01
127,8.89,0.58,5.38,-0.11,0.06,-0.01
128,8.89,0.58,5.39,-0.11,0.06,-0.01
129,8.89,0.58,5.39,-0.11,0.06,-0.01
130,8.88,0.58,5.39,-0.11,0.06,-0.01
131,8.88,0.58,5.39,-0.11,0.06,-0.01
132,8.88,0.58,5.39,-0.11,0.06,-0.01
133,8.88,0.58,5.39,-0.11,0.06,-0.01
134,8.88,0.58,5.39,-0.11,0.06,-0.01
135,8.88,0.58,5.39,-0.11,0.06,-0.01
136,8.88,0.58,5.39,-0.11,0.05,-0.01
137,8.88,0.58,5.39,-0.11,0.05,-0.01
138,8.88,0.58,5.39,-0.11,0.05,-0.01
139,8.88,0.58,5.39,-0.11,0.05,-0.01
140,8.88,0.59,5.39,-0.11,0.05,-0.01
141,8.88,0.59,5.39,-0.11,0.05,-0.01
142,8.88,0.59,5.39,-0.11,0.05,-0.01
143,8.88,0.59,5.39,-0.11,0.05,-0.01
144,8.88,0.59,5.39,-0.11,0.05,-0.01
145,8.87,0.59,5.4,-0.11,0.05,-0.01
146,8.87,0.59,5.4,-0.11,0.05,-0.01
147,8.87,0.59,5.4,-0.11,0.05,-0.01
148,8.87,0.59,5.4,-0.11,0.05,-0.01
149,8.87,0.59,5.4,-0.11,0.05,-0.01
150,8.87,0.59,5.4,-0.11,0.05,-0.01
151,8.87,0.59,5.4,-0.11,0.05,-0.01
152,8.87,0.59,5.4,-0.11,0.05,-0.01
153,8.87,0.59,5.4,-0.11,0.05,-0.01
154,8.87,0.59,5.4,-0.11,0.05,-0.01
155,8.87,0.59,5.4,-0.11,0.05,-0.01
156,8.87,0.59,5.4,-0.11,0.05,-0.01
157,8.87,0.59,5.4,-0.11,0.05,-0.01
158,8.87,0.59,5.4,-0.11,0.05,-0.01
159,8.87,0.59,5.4,-0.11,0.05,-0.01
160,8.87,0.58,5.4,-0.11,0.05,-0.01
161,8.88,0.58,5.4,-0.11,0.05,-0.01
162,8.88,0.58,5.39,-0.11,0.05,-0.01
163,8.88,0.58,5.39,-0.11,0.04,-0.01
164,8.88,0.58,5.39,-0.11,0.04,-0.01
165,8.88,0.58,5.38,-0.11,0.04,-0.01
166,8.88,0.58,5.38,-0.11,0.04,-0.01
167,8.89,0.58,5.38,-0.11,0.04,-0.01
168,8.89,0.58,5.37,-0.11,0.04,-0.01
169,8.89,0.58,5.37,-0.11,0.04,-0.01
