,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0,9.09,0.82,4.97,-0.11,0.05,-0.01
1,9.1,0.82,4.97,-0.11,0.05,-0.01
2,9.1,0.82,4.97,-0.11,0.05,-0.01
3,9.1,0.82,4.96,-0.11,0.05,-0.01
4,9.1,0.82,4.96,-0.11,0.05,-0.01
5,9.1,0.82,4.96,-0.11,0.06,-0.01
6,9.1,0.82,4.96,-0.11,0.06,-0.01
7,9.1,0.82,4.96,-0.11,0.06,-0.01
8,9.1,0.82,4.96,-0.11,0.06,-0.01
9,9.1,0.83,4.96,-0.11,0.06,-0.01
10,9.1,0.83,4.96,-0.11,0.06,-0.01
11,9.1,0.83,4.96,-0.11,0.06,-0.01
12,9.1,0.83,4.96,-0.11,0.06,-0.01
13,9.1,0.83,4.96,-0.11,0.06,-0.01
14,9.1,0.83,4.96,-0.11,0.06,-0.01
15,9.1,0.83,4.96,-0.11,0.06,-0.01
16,9.1,0.83,4.96,-0.11,0.06,-0.01
17,9.1,0.83,4.96,-0.11,0.06,-0.01
18,9.1,0.83,4.96,-0.11,0.06,-0.01
19,9.1,0.83,4.96,-0.11,0.06,-0.01
20,9.1,0.83,4.96,-0.11,0.06,-0.01
21,9.1,0.83,4.96,-0.11,0.06,-0.01
22,9.1,0.83,4.96,-0.11,0.06,-0.01
23,9.1,0.83,4.96,-0.11,0.06,-0.01
24,9.1,0.83,4.96,-0.11,0.06,-0.01
25,9.1,0.83,4.96,-0.11,0.06,-0.01
26,9.1,0.83,4.96,-0.11,0.06,-0.01
27,9.1,0.83,4.96,-0.11,0.06,-0.01
28,9.1,0.83,4.96,-0.11,0.05,-0.01
29,9.1,0.83,4.96,-0.11,0.05,-0.01
30,9.1,0.83,4.96,-0.11,0.05,-0.01
31,9.1,0.83,4.96,-0.11,0.05,-0.01
32,9.1,0.82,4.95,-0.11,0.05,-0.01
33,9.1,0.82,4.95,-0.11,0.05,-0.01
34,9.1,0.82,4.95,-0.11,0.05,-0.01
35,9.1,0.82,4.95,-0.12,0.06,-0.01
36,9.1,0.82,4.95,-0.12,0.06,-0.0
37,9.1,0.81,4.95,-0.12,0.06,-0.0
38,9.1,0.81,4.95,-0.12,0.06,-0.0
39,9.1,0.81,4.95,-0.12,0.06,-0.0
40,9.1,0.8,4.95,-0.12,0.06,-0.0
41,9.1,0.8,4.95,-0.12,0.06,-0.0
42,9.1,0.8,4.95,-0.12,0.06,-0.0
43,9.1,0.79,4.95,-0.12,0.06,-0.0
44,9.1,0.79,4.96,-0.12,0.06,-0.0
45,9.1,0.79,4.96,-0.12,0.07,-0.0
46,9.1,0.78,4.96,-0.12,0.07,-0.0
47,9.1,0.78,4.96,-0.12,0.07,-0.0
48,9.1,0.78,4.97,-0.12,0.07,-0.0
49,9.1,0.77,4.97,-0.12,0.07,-0.0
50,9.09,0.77,4.98,-0.12,0.08,-0.01
51,9.09,0.77,4.98,-0.12,0.08,-0.01
52,9.09,0.76,4.99,-0.12,0.08,-0.01
53,9.09,0.76,5.0,-0.12,0.08,-0.01
54,9.08,0.76,5.0,-0.12,0.08,-0.01
55,9.08,0.75,5.01,-0.12,0.09,-0.01
56,9.07,0.75,5.02,-0.12,0.09,-0.01
57,9.07,0.75,5.03,-0.12,0.09,-0.01
58,9.06,0.75,5.04,-0.12,0.09,-0.01
59,9.06,0.75,5.05,-0.12,0.09,-0.01
60,9.05,0.75,5.06,-0.12,0.1,-0.01
61,9.05,0.74,5.07,-0.12,0.1,-0.01
62,9.04,0.74,5.08,-0.12,0.1,-0.01
63,9.04,0.74,5.1,-0.12,0.1,-0.01
64,9.03,0.74,5.11,-0.12,0.1,-0.01
65,9.02,0.74,5.12,-0.12,0.1,-0.01
66,9.02,0.74,5.13,-0.12,0.1,-0.01
67,9.01,0.74,5.14,-0.11,0.1,-0.01
68,9.01,0.74,5.15,-0.11,0.1,-0.02
69,9.0,0.74,5.16,-0.11,0.1,-0.02
70,8.99,0.75,5.18,-0.11,0.1,-0.02
71,8.99,0.75,5.19,-0.11,0.1,-0.02
72,8.98,0.75,5.2,-0.11,0.1,-0.02
73,8.98,0.75,5.21,-0.11,0.09,-0.02
74,8.97,0.75,5.22,-0.11,0.09,-0.02
75,8.96,0.75,5.23,-0.11,0.09,-0.02
76,8.96,0.75,5.23,-0.11,0.09,-0.02
77,8.95,0.76,5.24,-0.11,0.09,-0.02
78,8.95,0.76,5.25,-0.11,0.09,-0.02
79,8.95,0.76,5.26,-0.11,0.08,-0.02
80,8.94,0.76,5.26,-0.11,0.08,-0.02
81,8.94,0.76,5.27,-0.11,0.08,-0.02
82,8.93,0.76,5.27,-0.11,0.08,-0.02
83,8.93,0.77,5.28,-0.11,0.08,-0.01
84,8.93,0.77,5.28,-0.11,0.07,-0.01
85,8.93,0.77,5.29,-0.11,0.07,-0.01
86,8.92,0.77,5.29,-0.11,0.07,-0.01
87,8.92,0.77,5.29,-0.11,0.07,-0.01
88,8.92,0.77,5.29,-0.11,0.07,-0.01
89,8.92,0.77,5.29,-0.11,0.06,-0.01
90,8.92,0.77,5.3,-0.11,0.06,-0.01
91,8.92,0.77,5.3,-0.11,0.06,-0.01
92,8.92,0.78,5.3,-0.11,0.06,-0.01
93,8.91,0.78,5.3,-0.11,0.06,-0.01
94,8.91,0.78,5.3,-0.11,0.06,-0.01
95,8.91,0.78,5.3,-0.11,0.06,-0.01
96,8.91,0.78,5.3,-0.11,0.06,-0.01
97,8.91,0.78,5.3,-0.11,0.06,-0.01
98,8.91,0.78,5.3,-0.11,0.06,-0.01
99,8.91,0.78,5.3,-0.11,0.06,-0.01
100,8.91,0.77,5.3,-0.11,0.06,-0.01
101,8.91,0.77,5.3,-0.11,0.06,-0.01
102,8.91,0.77,5.3,-0.11,0.06,-0.01
103,8.91,0.77,5.3,-0.11,0.06,-0.01
104,8.91,0.77,5.3,-0.11,0.06,-0.01
105,8.91,0.77,5.3,-0.11,0.06,-0.01
106,8.91,0.77,5.3,-0.11,0.06,-0.01
107,8.91,0.77,5.3,-0.11,0.06,-0.01
108,8.91,0.77,5.3,-0.11,0.06,-0.01
109,8.91,0.77,5.3,-0.11,0.06,-0.01
110,8.91,0.77,5.31,-0.11,0.06,-0.01
111,8.91,0.77,5.31,-0.11,0.06,-0.01
112,8.91,0.77,5.31,-0.11,0.06,-0.01
113,8.91,0.77,5.31,-0.11,0.06,-0.01
114,8.91,0.77,5.31,-0.11,0.06,-0.01
115,8.91,0.77,5.31,-0.11,0.06,-0.01
116,8.91,0.77,5.31,-0.11,0.06,-0.01
117,8.91,0.77,5.31,-0.11,0.06,-0.01
118,8.91,0.77,5.31,-0.11,0.06,-0.01
119,8.91,0.77,5.31,-0.11,0.05,-0.01
120,8.91,0.76,5.31,-0.11,0.05,-0.01
121,8.91,0.76,5.31,-0.11,0.05,-0.01
122,8.91,0.76,5.31,-0.11,0.05,-0.01
123,8.91,0.76,5.31,-0.11,0.05,-0.01
124,8.92,0.76,5.31,-0.11,0.05,-0.01
125,8.92,0.76,5.31,-0.11,0.04,-0.01
126,8.92,0.76,5.3,-0.11,0.04,-0.01
127,8.92,0.76,5.3,-0.11,0.04,-0.01
128,8.92,0.76,5.3,-0.11,0.04,-0.01
129,8.93,0.76,5.29,-0.11,0.04,-0.01
130,8.93,0.76,5.29,-0.11,0.03,-0.01
131,8.93,0.76,5.28,-0.11,0.03,-0.01
132,8.94,0.76,5.27,-0.11,0.03,-0.01
133,8.94,0.76,5.27,-0.11,0.03,-0.01
134,8.95,0.76,5.26,-0.11,0.02,-0.01
135,8.95,0.76,5.25,-0.11,0.02,-0.01
136,8.95,0.76,5.24,-0.11,0.02,-0.01
137,8.96,0.76,5.23,-0.11,0.02,-0.01
138,8.97,0.76,5.22,-0.11,0.02,-0.01
139,8.97,0.76,5.21,-0.11,0.02,-0.01
140,8.98,0.76,5.2,-0.11,0.02,-0.01
141,8.98,0.76,5.19,-0.11,0.02,-0.01
142,8.99,0.76,5.18,-0.11,0.02,-0.01
143,8.99,0.76,5.17,-0.11,0.02,-0.01
144,9.0,0.76,5.16,-0.11,0.02,-0.01
