,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
113,8.96,0.57,5.23,-0.11,0.05,-0.01
114,8.96,0.57,5.23,-0.11,0.05,-0.01
115,8.96,0.56,5.23,-0.11,0.06,-0.01
116,8.96,0.56,5.23,-0.11,0.06,-0.01
117,8.96,0.56,5.23,-0.11,0.06,-0.01
118,8.96,0.56,5.23,-0.11,0.06,-0.01
119,8.96,0.56,5.23,-0.11,0.07,-0.01
120,8.96,0.56,5.24,-0.11,0.07,-0.01
121,8.96,0.56,5.24,-0.11,0.07,-0.01
122,8.96,0.56,5.24,-0.11,0.07,-0.01
123,8.95,0.56,5.25,-0.11,0.07,-0.01
124,8.95,0.56,5.25,-0.11,0.07,-0.01
125,8.95,0.56,5.26,-0.11,0.08,-0.01
126,8.95,0.56,5.27,-0.11,0.08,-0.01
127,8.94,0.56,5.27,-0.11,0.08,-0.01
128,8.94,0.56,5.28,-0.11,0.08,-0.01
129,8.94,0.56,5.28,-0.11,0.08,-0.01
130,8.93,0.56,5.29,-0.11,0.08,-0.01
131,8.93,0.56,5.3,-0.11,0.08,-0.01
132,8.93,0.56,5.3,-0.11,0.08,-0.01
133,8.92,0.56,5.31,-0.11,0.08,-0.01
134,8.92,0.56,5.32,-0.11,0.08,-0.01
135,8.92,0.56,5.32,-0.11,0.08,-0.01
136,8.92,0.56,5.33,-0.11,0.08,-0.01
137,8.91,0.56,5.33,-0.11,0.08,-0.01
138,8.91,0.56,5.34,-0.11,0.08,-0.01
139,8.91,0.56,5.34,-0.11,0.08,-0.01
140,8.9,0.56,5.35,-0.11,0.08,-0.01
141,8.9,0.56,5.35,-0.11,0.08,-0.01
142,8.9,0.56,5.36,-0.11,0.08,-0.01
143,8.9,0.56,5.36,-0.11,0.08,-0.01
144,8.9,0.56,5.37,-0.11,0.08,-0.01
145,8.89,0.56,5.37,-0.11,0.07,-0.01
146,8.89,0.56,5.37,-0.11,0.07,-0.01
147,8.89,0.56,5.37,-0.11,0.07,-0.01
148,8.89,0.56,5.38,-0.11,0.07,-0.01
149,8.89,0.57,5.38,-0.11,0.07,-0.01
150,8.89,0.57,5.38,-0.11,0.07,-0.01
151,8.88,0.57,5.38,-0.11,0.07,-0.01
152,8.88,0.57,5.39,-0.11,0.07,-0.01
153,8.88,0.57,5.39,-0.11,0.07,-0.01
154,8.88,0.57,5.39,-0.11,0.07,-0.01
155,8.88,0.57,5.39,-0.11,0.07,-0.01
156,8.88,0.57,5.39,-0.11,0.06,-0.01
157,8.88,0.57,5.39,-0.11,0.06,-0.01
158,8.88,0.57,5.39,-0.11,0.06,-0.01
159,8.88,0.57,5.4,-0.11,0.06,-0.01
160,8.88,0.57,5.4,-0.11,0.06,-0.01
161,8.87,0.57,5.4,-0.11,0.06,-0.01
162,8.87,0.57,5.4,-0.11,0.06,-0.01
163,8.87,0.57,5.4,-0.11,0.06,-0.01
164,8.87,0.57,5.4,-0.11,0.06,-0.01
165,8.87,0.57,5.4,-0.11,0.06,-0.01
166,8.87,0.57,5.41,-0.11,0.06,-0.01
167,8.87,0.57,5.41,-0.11,0.06,-0.01
168,8.87,0.57,5.41,-0.11,0.06,-0.01
169,8.87,0.57,5.41,-0.11,0.06,-0.01
170,8.87,0.57,5.41,-0.11,0.06,-0.01
171,8.87,0.57,5.41,-0.11,0.06,-0.01
172,8.87,0.57,5.41,-0.11,0.06,-0.01
173,8.87,0.57,5.41,-0.11,0.06,-0.01
174,8.87,0.57,5.41,-0.11,0.06,-0.01
175,8.87,0.57,5.41,-0.11,0.06,-0.01
176,8.87,0.57,5.41,-0.11,0.06,-0.01
177,8.87,0.57,5.41,-0.11,0.06,-0.01
178,8.87,0.57,5.41,-0.11,0.05,-0.01
179,8.87,0.57,5.41,-0.11,0.05,-0.01
180,8.87,0.57,5.41,-0.11,0.05,-0.01
181,8.87,0.57,5.41,-0.11,0.05,-0.01
182,8.87,0.57,5.4,-0.11,0.05,-0.01
