,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0,8.75,1.03,5.54,-0.11,0.05,-0.01
1,8.75,1.03,5.55,-0.11,0.05,-0.01
2,8.74,1.04,5.55,-0.11,0.05,-0.01
3,8.74,1.04,5.55,-0.11,0.05,-0.01
4,8.74,1.04,5.56,-0.11,0.05,-0.01
5,8.74,1.04,5.56,-0.11,0.05,-0.01
6,8.73,1.04,5.56,-0.11,0.05,-0.01
7,8.73,1.04,5.57,-0.11,0.05,-0.01
8,8.73,1.05,5.57,-0.11,0.05,-0.01
9,8.72,1.05,5.58,-0.11,0.06,-0.01
10,8.72,1.05,5.58,-0.11,0.06,-0.01
11,8.72,1.05,5.58,-0.11,0.06,-0.01
12,8.72,1.05,5.59,-0.11,0.06,-0.01
13,8.71,1.05,5.59,-0.11,0.06,-0.01
14,8.71,1.05,5.6,-0.11,0.06,-0.01
15,8.71,1.06,5.6,-0.11,0.06,-0.01
16,8.71,1.06,5.6,-0.11,0.06,-0.01
17,8.71,1.06,5.61,-0.11,0.06,-0.01
18,8.71,1.06,5.61,-0.11,0.06,-0.01
19,8.7,1.06,5.61,-0.11,0.06,-0.01
20,8.7,1.06,5.61,-0.11,0.06,-0.01
21,8.7,1.06,5.61,-0.11,0.06,-0.01
22,8.7,1.06,5.61,-0.11,0.05,-0.01
23,8.7,1.06,5.61,-0.11,0.05,-0.01
24,8.7,1.06,5.61,-0.12,0.05,-0.01
25,8.7,1.06,5.61,-0.12,0.05,-0.01
26,8.7,1.06,5.61,-0.12,0.05,-0.01
27,8.71,1.05,5.61,-0.12,0.05,-0.01
28,8.71,1.05,5.61,-0.12,0.05,-0.01
29,8.71,1.05,5.61,-0.12,0.05,-0.01
30,8.71,1.05,5.6,-0.12,0.05,-0.01
31,8.71,1.05,5.6,-0.12,0.04,-0.01
32,8.72,1.05,5.6,-0.12,0.04,-0.01
33,8.72,1.04,5.59,-0.12,0.04,-0.01
34,8.72,1.04,5.59,-0.12,0.04,-0.01
35,8.72,1.04,5.58,-0.12,0.04,-0.01
36,8.73,1.04,5.58,-0.12,0.04,-0.01
37,8.73,1.04,5.58,-0.12,0.04,-0.01
38,8.73,1.03,5.57,-0.12,0.04,-0.01
39,8.74,1.03,5.57,-0.12,0.04,-0.01
40,8.74,1.03,5.56,-0.12,0.03,-0.01
41,8.74,1.03,5.56,-0.12,0.03,-0.01
42,8.75,1.03,5.55,-0.12,0.03,-0.01
43,8.75,1.02,5.55,-0.12,0.03,-0.01
44,8.75,1.02,5.54,-0.12,0.03,-0.01
45,8.76,1.02,5.54,-0.12,0.03,-0.01
46,8.76,1.02,5.53,-0.12,0.03,-0.01
47,8.76,1.02,5.53,-0.12,0.03,-0.01
48,8.77,1.02,5.52,-0.12,0.03,-0.01
49,8.77,1.02,5.52,-0.12,0.03,-0.01
50,8.77,1.01,5.51,-0.12,0.03,-0.01
51,8.78,1.01,5.51,-0.12,0.03,-0.01
52,8.78,1.01,5.5,-0.12,0.03,-0.01
53,8.78,1.01,5.5,-0.11,0.03,-0.01
54,8.78,1.01,5.49,-0.11,0.03,-0.01
55,8.79,1.01,5.49,-0.11,0.03,-0.01
56,8.79,1.01,5.48,-0.11,0.03,-0.01
57,8.79,1.01,5.48,-0.11,0.03,-0.01
58,8.79,1.01,5.47,-0.11,0.03,-0.01
59,8.79,1.01,5.47,-0.11,0.03,-0.01
60,8.8,1.01,5.47,-0.11,0.03,-0.01
61,8.8,1.01,5.46,-0.11,0.03,-0.01
62,8.8,1.01,5.46,-0.11,0.04,-0.01
63,8.8,1.01,5.45,-0.11,0.04,-0.01
64,8.8,1.01,5.45,-0.11,0.04,-0.01
65,8.81,1.01,5.44,-0.11,0.04,-0.01
66,8.81,1.01,5.44,-0.11,0.04,-0.01
67,8.81,1.01,5.44,-0.11,0.04,-0.01
68,8.81,1.01,5.43,-0.11,0.04,-0.01
69,8.81,1.01,5.43,-0.11,0.04,-0.01
70,8.82,1.01,5.42,-0.11,0.04,-0.01
71,8.82,1.01,5.42,-0.11,0.04,-0.01
72,8.82,1.01,5.42,-0.11,0.04,-0.01
73,8.82,1.01,5.41,-0.11,0.04,-0.01
74,8.83,1.01,5.41,-0.11,0.04,-0.01
75,8.83,1.01,5.4,-0.11,0.04,-0.01
76,8.83,1.01,5.4,-0.11,0.04,-0.01
77,8.83,1.01,5.4,-0.11,0.04,-0.01
78,8.83,1.01,5.39,-0.11,0.04,-0.01
79,8.83,1.01,5.39,-0.11,0.04,-0.01
80,8.84,1.01,5.39,-0.11,0.05,-0.01
81,8.84,1.01,5.39,-0.11,0.05,-0.01
82,8.84,1.01,5.38,-0.11,0.05,-0.01
83,8.84,1.01,5.38,-0.11,0.05,-0.01
84,8.84,1.01,5.38,-0.11,0.05,-0.01
85,8.84,1.01,5.38,-0.11,0.05,-0.01
86,8.84,1.01,5.38,-0.11,0.05,-0.01
87,8.84,1.01,5.38,-0.11,0.05,-0.01
88,8.84,1.0,5.38,-0.11,0.06,-0.01
89,8.84,1.0,5.38,-0.11,0.06,-0.01
90,8.84,1.0,5.38,-0.11,0.06,-0.01
91,8.84,1.0,5.38,-0.11,0.06,-0.01
92,8.84,1.0,5.39,-0.11,0.06,-0.01
93,8.84,1.0,5.39,-0.11,0.06,-0.01
94,8.84,1.0,5.39,-0.11,0.06,-0.01
95,8.84,1.0,5.4,-0.11,0.07,-0.01
96,8.84,1.0,5.4,-0.11,0.07,-0.01
97,8.83,1.0,5.41,-0.11,0.07,-0.01
98,8.83,1.0,5.41,-0.11,0.07,-0.01
99,8.83,1.0,5.42,-0.11,0.07,-0.01
100,8.82,1.0,5.42,-0.11,0.07,-0.01
101,8.82,1.0,5.43,-0.11,0.07,-0.01
102,8.82,1.01,5.43,-0.11,0.08,-0.01
103,8.81,1.01,5.44,-0.11,0.08,-0.01
104,8.81,1.01,5.45,-0.11,0.08,-0.01
105,8.81,1.01,5.46,-0.11,0.08,-0.01
106,8.8,1.01,5.46,-0.11,0.08,-0.01
107,8.8,1.01,5.47,-0.11,0.08,-0.01
108,8.79,1.01,5.48,-0.11,0.08,-0.01
109,8.79,1.01,5.48,-0.11,0.08,-0.01
110,8.79,1.01,5.49,-0.11,0.08,-0.01
111,8.78,1.01,5.5,-0.11,0.08,-0.01
112,8.78,1.02,5.5,-0.11,0.08,-0.01
113,8.77,1.02,5.51,-0.11,0.08,-0.01
114,8.77,1.02,5.52,-0.11,0.08,-0.01
115,8.77,1.02,5.52,-0.11,0.08,-0.01
116,8.76,1.02,5.53,-0.11,0.08,-0.01
117,8.76,1.02,5.54,-0.11,0.08,-0.01
118,8.76,1.02,5.54,-0.11,0.08,-0.01
119,8.75,1.02,5.55,-0.11,0.07,-0.01
120,8.75,1.02,5.55,-0.11,0.07,-0.01
121,8.75,1.03,5.55,-0.11,0.07,-0.01
122,8.74,1.03,5.56,-0.11,0.07,-0.01
123,8.74,1.03,5.56,-0.11,0.07,-0.01
124,8.74,1.03,5.56,-0.11,0.07,-0.01
125,8.74,1.03,5.57,-0.11,0.07,-0.01
126,8.74,1.03,5.57,-0.11,0.07,-0.01
127,8.73,1.03,5.57,-0.11,0.06,-0.01
128,8.73,1.03,5.57,-0.11,0.06,-0.01
129,8.73,1.03,5.57,-0.11,0.06,-0.01
130,8.73,1.03,5.58,-0.11,0.06,-0.01
131,8.73,1.03,5.58,-0.11,0.06,-0.01
132,8.73,1.03,5.58,-0.11,0.06,-0.01
133,8.73,1.03,5.58,-0.11,0.06,-0.01
134,8.73,1.03,5.58,-0.11,0.06,-0.01
135,8.73,1.03,5.58,-0.11,0.06,-0.01
136,8.73,1.04,5.58,-0.11,0.06,-0.01
