,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0,8.84,0.74,5.44,-0.11,0.04,-0.01
1,8.84,0.74,5.44,-0.11,0.04,-0.01
2,8.84,0.74,5.44,-0.11,0.04,-0.01
3,8.84,0.74,5.44,-0.11,0.04,-0.01
4,8.84,0.74,5.45,-0.11,0.04,-0.01
5,8.84,0.74,5.45,-0.11,0.05,-0.01
6,8.84,0.74,5.45,-0.11,0.05,-0.01
7,8.83,0.74,5.45,-0.11,0.05,-0.01
8,8.83,0.74,5.46,-0.11,0.05,-0.01
9,8.83,0.74,5.46,-0.11,0.05,-0.01
10,8.83,0.74,5.46,-0.11,0.05,-0.01
11,8.83,0.74,5.46,-0.11,0.05,-0.01
12,8.83,0.74,5.46,-0.11,0.05,-0.01
13,8.83,0.74,5.47,-0.11,0.05,-0.01
14,8.83,0.74,5.47,-0.11,0.05,-0.01
15,8.82,0.74,5.47,-0.11,0.05,-0.01
16,8.82,0.74,5.47,-0.11,0.05,-0.01
17,8.82,0.74,5.47,-0.11,0.05,-0.01
18,8.82,0.74,5.47,-0.11,0.05,-0.01
19,8.82,0.74,5.47,-0.11,0.05,-0.01
20,8.82,0.74,5.47,-0.11,0.05,-0.01
21,8.82,0.74,5.47,-0.11,0.05,-0.01
22,8.82,0.74,5.47,-0.11,0.05,-0.01
23,8.82,0.74,5.47,-0.11,0.05,-0.01
24,8.82,0.74,5.47,-0.11,0.05,-0.01
25,8.82,0.74,5.47,-0.11,0.05,-0.01
26,8.83,0.74,5.46,-0.11,0.05,-0.01
27,8.83,0.74,5.46,-0.11,0.05,-0.01
28,8.83,0.74,5.46,-0.11,0.05,-0.01
29,8.83,0.74,5.46,-0.11,0.05,-0.01
30,8.83,0.74,5.45,-0.11,0.05,-0.01
31,8.83,0.74,5.45,-0.11,0.04,-0.01
32,8.83,0.74,5.45,-0.11,0.04,-0.01
33,8.84,0.74,5.44,-0.11,0.04,-0.01
34,8.84,0.74,5.44,-0.11,0.04,-0.01
35,8.84,0.74,5.43,-0.11,0.04,-0.01
36,8.84,0.74,5.43,-0.11,0.04,-0.01
37,8.85,0.74,5.43,-0.11,0.04,-0.01
38,8.85,0.74,5.42,-0.11,0.04,-0.01
39,8.85,0.74,5.42,-0.11,0.04,-0.01
40,8.85,0.74,5.41,-0.11,0.04,-0.01
41,8.86,0.74,5.41,-0.11,0.04,-0.01
42,8.86,0.74,5.4,-0.11,0.04,-0.01
43,8.86,0.74,5.4,-0.11,0.04,-0.01
44,8.86,0.74,5.4,-0.11,0.04,-0.01
45,8.86,0.74,5.39,-0.11,0.04,-0.01
46,8.87,0.74,5.39,-0.11,0.04,-0.01
47,8.87,0.74,5.39,-0.11,0.04,-0.01
48,8.87,0.74,5.38,-0.11,0.04,-0.01
49,8.87,0.74,5.38,-0.11,0.04,-0.01
50,8.87,0.74,5.38,-0.11,0.04,-0.01
51,8.88,0.74,5.38,-0.11,0.04,-0.01
52,8.88,0.74,5.37,-0.11,0.04,-0.01
53,8.88,0.74,5.37,-0.11,0.04,-0.01
54,8.88,0.74,5.37,-0.11,0.04,-0.01
55,8.88,0.74,5.37,-0.11,0.04,-0.01
56,8.88,0.73,5.36,-0.11,0.04,-0.01
57,8.88,0.73,5.36,-0.11,0.04,-0.01
58,8.89,0.73,5.36,-0.11,0.04,-0.01
59,8.89,0.73,5.36,-0.11,0.04,-0.01
60,8.89,0.73,5.36,-0.11,0.04,-0.01
61,8.89,0.73,5.35,-0.11,0.04,-0.01
62,8.89,0.73,5.35,-0.11,0.04,-0.01
63,8.89,0.73,5.35,-0.11,0.04,-0.01
64,8.89,0.73,5.35,-0.11,0.04,-0.01
65,8.89,0.73,5.35,-0.11,0.04,-0.01
66,8.9,0.73,5.34,-0.11,0.04,-0.01
67,8.9,0.73,5.34,-0.11,0.04,-0.01
68,8.9,0.73,5.34,-0.11,0.04,-0.01
69,8.9,0.73,5.34,-0.11,0.04,-0.01
70,8.9,0.73,5.33,-0.11,0.04,-0.01
71,8.9,0.73,5.33,-0.11,0.04,-0.01
72,8.91,0.73,5.33,-0.11,0.04,-0.01
73,8.91,0.73,5.32,-0.11,0.04,-0.01
74,8.91,0.73,5.32,-0.11,0.04,-0.01
75,8.91,0.73,5.32,-0.11,0.04,-0.01
76,8.91,0.73,5.31,-0.11,0.04,-0.01
77,8.92,0.73,5.31,-0.11,0.04,-0.01
78,8.92,0.73,5.31,-0.11,0.04,-0.01
79,8.92,0.73,5.3,-0.11,0.04,-0.01
80,8.92,0.73,5.3,-0.11,0.04,-0.01
81,8.92,0.73,5.29,-0.11,0.04,-0.01
82,8.93,0.73,5.29,-0.11,0.04,-0.01
83,8.93,0.73,5.29,-0.11,0.04,-0.01
84,8.93,0.73,5.28,-0.11,0.04,-0.01
85,8.93,0.73,5.28,-0.11,0.04,-0.01
86,8.93,0.73,5.28,-0.11,0.05,-0.01
87,8.93,0.73,5.28,-0.11,0.05,-0.01
88,8.93,0.73,5.27,-0.11,0.05,-0.01
89,8.94,0.73,5.27,-0.11,0.05,-0.01
90,8.94,0.73,5.27,-0.11,0.05,-0.01
91,8.94,0.73,5.27,-0.11,0.05,-0.01
92,8.94,0.73,5.27,-0.11,0.05,-0.01
93,8.94,0.73,5.27,-0.11,0.05,-0.01
94,8.94,0.73,5.27,-0.11,0.06,-0.01
95,8.94,0.73,5.27,-0.11,0.06,-0.01
96,8.93,0.73,5.27,-0.11,0.06,-0.01
97,8.93,0.72,5.28,-0.11,0.06,-0.01
98,8.93,0.72,5.28,-0.11,0.06,-0.01
99,8.93,0.72,5.28,-0.11,0.06,-0.01
100,8.93,0.72,5.29,-0.11,0.07,-0.01
101,8.92,0.72,5.29,-0.11,0.07,-0.01
102,8.92,0.72,5.29,-0.11,0.07,-0.01
103,8.92,0.72,5.3,-0.11,0.07,-0.01
104,8.92,0.72,5.31,-0.11,0.07,-0.01
105,8.91,0.72,5.31,-0.11,0.07,-0.01
106,8.91,0.72,5.32,-0.11,0.08,-0.01
107,8.91,0.72,5.32,-0.11,0.08,-0.01
108,8.9,0.72,5.33,-0.11,0.08,-0.01
109,8.9,0.72,5.34,-0.11,0.08,-0.01
