STT,min_AccelX,max_AccelX,mean_AccelX,std_AccelX,frequency_AccelX,min_AccelY,max_AccelY,mean_AccelY,std_AccelY,frequency_AccelY,min_AccelZ,max_AccelZ,mean_AccelZ,std_AccelZ,frequency_AccelZ,min_GyroX,max_GyroX,mean_GyroX,std_GyroX,frequency_GyroX,min_GyroY,max_GyroY,mean_GyroY,std_GyroY,frequency_GyroY,min_GyroZ,max_GyroZ,mean_GyroZ,std_GyroZ,frequency_GyroZ
57,9.39,9.63,9.51,0.047138094997570615,39.0,1.42,1.72,1.5749000000000002,0.03732278124684708,134.0,3.71,4.09,3.90925,0.04786373888446243,1.0,-0.13,-0.07,-0.10980000000000002,0.00994786409235671,39.0,0.04,0.08,0.05705000000000002,0.007402533350144395,66.0,-0.03,0.01,-0.012350000000000002,0.00678067105823605,187.0
58,9.39,9.67,9.5059,0.05055877767509807,40.0,1.45,1.73,1.58925,0.0356081100312836,60.0,3.75,4.05,3.9131,0.04315541680948062,60.0,-0.14,-0.08,-0.10990000000000003,0.010535179163165664,40.0,0.04,0.08,0.05575000000000001,0.007774155902733107,13.0,-0.03,0.01,-0.01175,0.0071719941438905255,13.0
59,9.39,9.65,9.5047,0.045737402637228926,40.0,1.42,1.69,1.58995,0.029774107879162383,46.0,3.74,4.06,3.9129999999999994,0.04518849411078002,132.0,-0.15,-0.07,-0.11055000000000001,0.010158617031860192,40.0,0.03,0.07,0.05575000000000001,0.007031180555212615,46.0,-0.02,0.01,-0.01165,0.006146340374564364,13.0
60,9.4,9.62,9.50105,0.044625077030745766,159.0,1.45,1.69,1.5937000000000001,0.032191769134361024,48.0,3.78,4.02,3.9179000000000004,0.0372503691256879,34.0,-0.14,-0.08,-0.11035,0.009347593273137207,159.0,0.04,0.07,0.056050000000000016,0.006236786031282457,7.0,-0.02,0.01,-0.01115,0.005308248298638639,14.0
61,9.37,9.64,9.4999,0.05003988409259152,41.0,1.43,1.69,1.59195,0.03290436901081678,138.0,3.79,3.99,3.9200999999999997,0.03435098251869955,35.0,-0.13,-0.08,-0.11115000000000003,0.008727972273099863,90.0,0.04,0.07,0.05595000000000001,0.006008119506135009,7.0,-0.03,0.01,-0.01155,0.005486118846689343,69.0
62,9.38,9.74,9.5802,0.05962348530570815,40.0,1.44,1.75,1.5999999999999996,0.0455850852801659,60.0,3.52,4.15,3.71215,0.0783509891450006,2.0,-0.17,-0.03,-0.1121,0.01534894133157072,7.0,-0.07,0.09,0.05250000000000001,0.021926011949280698,6.0,-0.06,0.03,-0.012850000000000002,0.00902094784376897,75.0
63,9.45,9.72,9.5704,0.049435210123959204,46.0,1.46,1.74,1.61115,0.03701590874205302,66.0,3.54,3.87,3.7305499999999996,0.04732015955171747,66.0,-0.13,-0.07,-0.10985000000000002,0.009406247923587808,33.0,0.03,0.08,0.05615000000000001,0.009147540653093594,187.0,-0.02,0.01,-0.011049999999999999,0.006355902768293423,73.0
64,9.42,9.71,9.568999999999999,0.04757099956906522,161.0,1.46,1.75,1.6134499999999996,0.035518973802743756,65.0,3.57,3.84,3.7339499999999997,0.03580359618809258,1.0,-0.13,-0.08,-0.11090000000000001,0.008074032449773779,33.0,0.03,0.08,0.05630000000000001,0.008204267182387467,39.0,-0.03,0.01,-0.011850000000000001,0.006251199884822114,190.0
65,9.46,9.67,9.5659,0.04447684790989581,38.0,1.47,1.7,1.6126000000000003,0.03623865339661502,64.0,3.6,3.83,3.7382999999999997,0.030415620986591715,38.0,-0.14,-0.08,-0.11100000000000002,0.008774964387392122,168.0,0.03,0.08,0.056000000000000015,0.007681145747868608,38.0,-0.03,0.01,-0.011000000000000001,0.005567764362830022,13.0
66,9.42,9.7,9.566849999999999,0.04771349389847699,39.0,1.48,1.72,1.6232499999999999,0.03541097993560749,59.0,3.65,3.82,3.7340999999999998,0.024066366572459547,161.0,-0.13,-0.09,-0.11070000000000002,0.0069649120597463365,33.0,0.03,0.08,0.055550000000000016,0.007854775617418997,39.0,-0.03,0.01,-0.0115,0.0053619026473818035,13.0
67,8.83,9.02,8.918399999999998,0.040042976912312664,42.0,1.69,1.87,1.7966,0.025542905081450722,165.0,4.94,5.15,5.06295,0.030802556712065325,42.0,-0.13,-0.09,-0.11080000000000002,0.00844748483277715,42.0,0.04,0.07,0.05585000000000001,0.006267176397708938,14.0,-0.02,0.0,-0.0114,0.0054808758424178886,35.0
68,9.47,9.81,9.61545,0.05780828227858015,39.0,1.6,1.83,1.7242,0.03927289141379842,199.0,3.28,3.73,3.54805,0.06057802819504774,1.0,-0.16,-0.08,-0.11385000000000002,0.01294903471305873,4.0,-0.02,0.1,0.05340000000000001,0.01877338541659442,2.0,-0.05,0.01,-0.014450000000000001,0.008467437628940646,2.0
69,9.5,9.73,9.6076,0.04491369501610849,38.0,1.55,1.81,1.72,0.03400000000000001,63.0,3.41,3.65,3.5753,0.03420394714064445,1.0,-0.13,-0.09,-0.1107,0.007450503338701351,63.0,0.01,0.08,0.055600000000000004,0.00914549069213894,38.0,-0.03,0.01,-0.0115,0.006614378277661476,38.0
70,9.47,9.71,9.604700000000001,0.042401768831028766,44.0,1.59,1.79,1.7195500000000001,0.029888082909413922,136.0,3.43,3.66,3.58935,0.034453991060543344,131.0,-0.13,-0.08,-0.11045000000000002,0.00867741320901569,31.0,0.04,0.07,0.05660000000000002,0.00724154679609267,44.0,-0.02,0.01,-0.011200000000000002,0.005528109984434102,69.0
71,9.46,9.72,9.605599999999999,0.0439390486924785,40.0,1.58,1.78,1.7201,0.031192787627911694,63.0,3.44,3.64,3.58245,0.030781447334392854,1.0,-0.13,-0.08,-0.11010000000000002,0.007873372847769879,7.0,0.03,0.08,0.05560000000000001,0.008284926070883191,187.0,-0.03,0.01,-0.01145,0.005691880181451468,67.0
