STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,8.94,0.94,5.33,-0.11,0.05,-0.02
2,8.84,0.93,5.25,-0.11,0.05,-0.01
3,8.83,0.91,5.26,-0.12,0.05,-0.01
4,8.93,0.94,5.26,-0.12,0.04,-0.01
5,8.97,0.96,5.27,-0.12,0.05,-0.02
6,8.92,0.94,5.25,-0.12,0.06,-0.02
7,8.84,0.92,5.24,-0.11,0.06,-0.01
8,8.86,0.93,5.28,-0.11,0.05,-0.01
9,8.94,0.92,5.25,-0.12,0.05,-0.01
10,8.94,0.95,5.26,-0.12,0.06,-0.01
11,8.91,0.99,5.34,-0.13,0.06,-0.01
12,8.93,0.83,5.08,-0.09,0.07,-0.00
13,8.87,0.93,5.33,-0.09,0.07,-0.02
14,8.87,1.01,5.34,-0.12,0.06,-0.00
15,8.95,0.96,5.25,-0.13,0.06,-0.01
16,9.00,0.90,5.24,-0.12,0.09,-0.01
17,8.90,0.95,5.34,-0.10,0.08,-0.02
18,8.83,0.96,5.27,-0.10,0.07,-0.01
19,8.83,0.93,5.31,-0.12,0.07,-0.01
20,8.93,0.93,5.39,-0.12,0.08,-0.01
21,8.99,0.93,5.32,-0.11,0.06,-0.01
22,8.91,0.91,5.27,-0.10,0.10,-0.02
23,8.79,0.93,5.30,-0.09,0.11,-0.01
24,8.78,0.94,5.39,-0.12,0.07,-0.01
25,8.94,0.94,5.38,-0.11,0.07,-0.00
26,8.96,0.93,5.40,-0.09,0.09,-0.02
27,8.86,0.98,5.42,-0.10,0.08,-0.02
28,8.77,0.94,5.39,-0.11,0.07,-0.01
29,8.86,0.91,5.37,-0.12,0.07,-0.01
30,8.91,0.95,5.38,-0.11,0.08,-0.01
31,8.87,0.96,5.37,-0.11,0.08,-0.02
32,8.80,0.95,5.40,-0.11,0.08,-0.01
33,8.83,0.91,5.37,-0.12,0.08,-0.01
34,8.86,0.95,5.42,-0.11,0.09,-0.02
35,8.84,0.95,5.43,-0.10,0.09,-0.02
36,8.83,0.94,5.41,-0.11,0.09,-0.02
37,8.83,0.95,5.41,-0.11,0.09,-0.01
38,8.79,1.01,5.52,-0.13,0.09,-0.01
39,8.82,0.79,5.36,-0.08,0.10,-0.01
40,8.77,0.95,5.42,-0.08,0.11,-0.02
41,8.75,1.02,5.57,-0.11,0.09,-0.01
42,8.80,0.95,5.44,-0.12,0.07,-0.00
43,8.88,0.91,5.52,-0.12,0.09,-0.01
44,8.83,0.94,5.49,-0.10,0.10,-0.01
45,8.74,0.96,5.46,-0.09,0.09,-0.02
46,8.72,0.99,5.52,-0.10,0.10,-0.02
47,8.72,0.97,5.54,-0.11,0.09,-0.01
48,8.81,0.96,5.57,-0.11,0.08,-0.01
49,8.83,0.94,5.47,-0.10,0.09,-0.02
50,8.74,0.92,5.53,-0.07,0.11,-0.02
51,8.66,0.98,5.61,-0.11,0.09,-0.02
52,8.76,0.96,5.55,-0.10,0.08,-0.01
53,8.81,0.94,5.57,-0.10,0.09,-0.02
54,8.73,0.97,5.60,-0.10,0.09,-0.02
55,8.71,0.97,5.59,-0.10,0.07,-0.01
56,8.71,0.97,5.60,-0.11,0.07,-0.01
57,8.76,0.96,5.61,-0.10,0.07,-0.01
58,8.75,1.00,5.60,-0.10,0.06,-0.02
59,8.70,0.99,5.59,-0.10,0.07,-0.01
60,8.72,0.97,5.60,-0.10,0.06,-0.01
61,8.71,0.98,5.60,-0.11,0.06,-0.02
