STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,8.92,0.71,5.40,-0.10,0.14,-0.03
2,8.89,0.73,5.31,-0.10,0.12,-0.02
3,8.85,0.77,5.34,-0.10,0.13,-0.02
4,8.84,0.76,5.34,-0.11,0.11,-0.01
5,8.91,0.75,5.33,-0.13,0.10,-0.00
6,8.97,0.74,5.34,-0.13,0.11,-0.01
7,8.89,0.75,5.42,-0.15,0.13,-0.02
8,8.92,0.70,5.26,-0.13,0.09,-0.01
9,8.84,0.64,5.25,-0.07,0.14,-0.03
10,8.78,0.77,5.66,-0.12,0.14,-0.02
11,8.78,0.80,5.55,-0.14,0.05,0.00
12,8.97,0.68,5.41,-0.13,0.07,0.00
13,8.93,0.71,5.45,-0.13,0.08,-0.01
14,8.81,0.72,5.45,-0.11,0.07,-0.02
15,8.78,0.70,5.43,-0.10,0.07,-0.02
16,8.80,0.70,5.52,-0.12,0.09,-0.01
17,8.87,0.73,5.55,-0.13,0.07,-0.00
18,8.87,0.72,5.38,-0.11,0.07,-0.01
19,8.80,0.72,5.48,-0.09,0.09,-0.02
20,8.76,0.73,5.48,-0.12,0.06,-0.02
21,8.83,0.67,5.49,-0.12,0.06,-0.01
22,8.88,0.71,5.46,-0.11,0.07,-0.02
23,8.81,0.74,5.52,-0.11,0.07,-0.02
24,8.69,0.73,5.56,-0.11,0.04,-0.01
25,8.77,0.76,5.52,-0.13,0.02,-0.00
26,8.90,0.69,5.45,-0.12,0.04,0.00
27,8.89,0.64,5.46,-0.11,0.06,-0.01
28,8.85,0.72,5.35,-0.10,0.07,-0.01
29,8.80,0.72,5.46,-0.11,0.07,-0.02
30,8.83,0.71,5.49,-0.11,0.06,-0.02
31,8.83,0.70,5.53,-0.11,0.07,-0.02
32,8.80,0.79,5.54,-0.12,0.07,-0.01
33,8.80,0.78,5.41,-0.12,0.04,-0.01
34,8.73,0.61,5.37,-0.07,0.07,-0.02
35,8.79,0.70,5.65,-0.13,0.09,-0.01
36,8.87,0.74,5.58,-0.13,0.04,0.00
37,8.92,0.68,5.46,-0.10,0.05,-0.01
38,8.80,0.71,5.50,-0.12,0.06,-0.01
39,8.77,0.69,5.45,-0.11,0.06,-0.02
40,8.77,0.67,5.46,-0.10,0.06,-0.02
41,8.81,0.72,5.54,-0.12,0.07,-0.01
42,8.86,0.74,5.54,-0.11,0.05,-0.01
43,8.84,0.73,5.44,-0.11,0.06,-0.02
44,8.77,0.71,5.51,-0.09,0.08,-0.02
45,8.75,0.76,5.51,-0.11,0.06,-0.02
46,8.82,0.68,5.50,-0.12,0.06,-0.01
