STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,8.91,0.73,5.30,-0.10,0.10,-0.02
2,8.92,0.79,5.34,-0.09,0.12,-0.02
3,8.91,0.82,5.36,-0.09,0.14,-0.02
4,8.82,0.79,5.41,-0.11,0.14,-0.01
5,8.85,0.78,5.42,-0.12,0.14,-0.01
6,8.88,0.75,5.43,-0.10,0.14,-0.03
7,8.84,0.79,5.49,-0.09,0.14,-0.03
8,8.80,0.80,5.51,-0.09,0.12,-0.03
9,8.78,0.80,5.46,-0.09,0.11,-0.02
10,8.80,0.82,5.53,-0.09,0.10,-0.02
11,8.79,0.82,5.48,-0.09,0.09,-0.02
12,8.80,0.78,5.54,-0.10,0.08,-0.01
13,8.78,0.81,5.60,-0.11,0.08,-0.01
14,8.79,0.82,5.44,-0.10,0.05,-0.00
15,8.76,0.71,5.37,-0.06,0.07,-0.01
16,8.75,0.85,5.63,-0.10,0.10,-0.02
17,8.74,0.91,5.67,-0.12,0.04,0.00
18,8.89,0.78,5.47,-0.11,0.04,0.00
19,8.85,0.83,5.55,-0.11,0.06,-0.02
20,8.77,0.87,5.48,-0.09,0.06,-0.02
21,8.71,0.83,5.48,-0.09,0.06,-0.01
22,8.74,0.81,5.55,-0.11,0.07,-0.01
23,8.84,0.82,5.56,-0.11,0.05,-0.01
24,8.86,0.82,5.50,-0.11,0.06,-0.01
25,8.78,0.80,5.50,-0.08,0.08,-0.01
26,8.71,0.84,5.59,-0.11,0.06,-0.01
27,8.79,0.82,5.54,-0.11,0.06,-0.01
28,8.83,0.83,5.56,-0.10,0.06,-0.02
29,8.76,0.86,5.54,-0.11,0.07,-0.02
30,8.71,0.83,5.56,-0.11,0.06,-0.01
31,8.74,0.83,5.58,-0.12,0.06,-0.01
32,8.79,0.83,5.55,-0.10,0.06,-0.01
33,8.75,0.83,5.58,-0.11,0.05,-0.01
34,8.75,0.86,5.52,-0.11,0.05,-0.01
35,8.77,0.86,5.53,-0.12,0.06,-0.01
36,8.78,0.82,5.54,-0.11,0.06,-0.02
37,8.73,0.85,5.54,-0.10,0.06,-0.02
38,8.75,0.83,5.53,-0.11,0.06,-0.01
39,8.76,0.85,5.56,-0.12,0.06,-0.01
40,8.75,0.85,5.66,-0.13,0.06,-0.01
41,8.81,0.79,5.39,-0.10,0.05,-0.01
42,8.74,0.83,5.52,-0.07,0.08,-0.02
43,8.71,0.93,5.68,-0.12,0.05,-0.01
44,8.77,0.86,5.55,-0.12,0.02,0.00
45,8.83,0.79,5.56,-0.12,0.05,-0.01
46,8.80,0.87,5.54,-0.11,0.05,-0.01
47,8.71,0.87,5.50,-0.10,0.05,-0.01
48,8.72,0.81,5.51,-0.11,0.06,-0.01
49,8.79,0.82,5.59,-0.11,0.05,-0.01
50,8.83,0.85,5.54,-0.11,0.04,-0.01
51,8.79,0.83,5.50,-0.11,0.07,-0.02
52,8.74,0.83,5.54,-0.10,0.07,-0.01
53,8.74,0.81,5.57,-0.11,0.06,-0.02
54,8.81,0.84,5.52,-0.11,0.05,-0.02
55,8.76,0.85,5.52,-0.11,0.06,-0.01
56,8.77,0.84,5.53,-0.12,0.05,-0.01
57,8.77,0.85,5.51,-0.12,0.06,-0.01
58,8.75,0.81,5.53,-0.11,0.06,-0.01
59,8.79,0.85,5.52,-0.11,0.05,-0.01
60,8.79,0.87,5.55,-0.12,0.05,-0.01
61,8.76,0.83,5.54,-0.12,0.05,-0.01
62,8.74,0.83,5.54,-0.12,0.06,-0.01
63,8.78,0.84,5.53,-0.11,0.06,-0.02
64,8.76,0.87,5.51,-0.11,0.06,-0.01
65,8.75,0.84,5.54,-0.12,0.05,-0.01
66,8.79,0.81,5.57,-0.12,0.06,-0.01
67,8.83,0.82,5.54,-0.11,0.06,-0.02
68,8.76,0.88,5.58,-0.14,0.04,-0.01
69,8.74,0.70,5.42,-0.10,0.05,-0.01
70,8.73,0.85,5.59,-0.12,0.06,-0.01
71,8.76,0.91,5.63,-0.13,0.03,0.01
72,8.83,0.81,5.51,-0.13,0.00,0.01
73,8.86,0.79,5.58,-0.13,0.02,-0.00
74,8.79,0.86,5.50,-0.12,0.01,-0.01
75,8.74,0.84,5.46,-0.12,-0.01,-0.01
76,8.78,0.77,5.48,-0.13,0.00,-0.01
77,8.85,0.77,5.54,-0.12,0.00,-0.01
78,8.89,0.81,5.42,-0.12,0.00,-0.01
79,8.79,0.79,5.42,-0.10,0.02,-0.02
80,8.77,0.76,5.46,-0.11,0.02,-0.01
81,8.85,0.80,5.43,-0.12,0.02,-0.01
82,8.91,0.80,5.43,-0.12,0.01,-0.00
83,8.90,0.82,5.41,-0.12,0.02,-0.01
84,8.83,0.79,5.42,-0.11,0.02,-0.01
85,8.83,0.82,5.37,-0.13,0.01,-0.01
86,8.87,0.81,5.36,-0.12,0.02,-0.01
87,8.91,0.83,5.38,-0.12,0.02,-0.01
88,8.91,0.83,5.40,-0.14,0.02,-0.01
89,8.88,0.77,5.32,-0.14,0.01,-0.01
90,8.89,0.77,5.31,-0.11,0.01,-0.02
91,8.91,0.79,5.33,-0.11,0.02,-0.02
92,8.90,0.78,5.32,-0.11,0.01,-0.02
93,8.91,0.80,5.33,-0.12,0.02,-0.01
94,8.90,0.81,5.38,-0.14,0.02,-0.01
95,8.96,0.68,5.05,-0.10,0.02,-0.00
96,8.89,0.74,5.25,-0.07,0.04,-0.02
97,8.87,0.85,5.41,-0.12,0.01,-0.00
