STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,8.72,0.95,5.47,-0.10,0.09,-0.01
2,8.82,0.96,5.42,-0.11,0.08,-0.01
3,8.88,0.98,5.46,-0.10,0.10,-0.01
4,8.84,1.02,5.49,-0.10,0.11,-0.02
5,8.74,0.99,5.50,-0.10,0.10,-0.01
6,8.75,0.97,5.49,-0.11,0.09,-0.01
7,8.81,0.99,5.51,-0.11,0.10,-0.01
8,8.80,0.98,5.53,-0.11,0.09,-0.02
9,8.77,1.02,5.49,-0.10,0.09,-0.02
10,8.74,1.03,5.50,-0.10,0.10,-0.02
11,8.74,1.00,5.53,-0.11,0.10,-0.02
12,8.73,1.02,5.57,-0.10,0.10,-0.02
13,8.75,1.00,5.57,-0.10,0.10,-0.02
14,8.72,1.01,5.56,-0.10,0.10,-0.01
15,8.73,1.02,5.55,-0.10,0.09,-0.02
16,8.71,0.99,5.60,-0.10,0.08,-0.01
17,8.74,1.00,5.63,-0.09,0.08,-0.01
18,8.72,1.03,5.68,-0.11,0.07,-0.01
19,8.74,1.07,5.52,-0.11,0.03,-0.00
20,8.71,0.94,5.46,-0.07,0.07,-0.01
21,8.71,1.04,5.69,-0.10,0.09,-0.01
22,8.66,1.08,5.71,-0.11,0.05,0.00
23,8.75,0.97,5.54,-0.12,0.04,0.00
24,8.79,0.97,5.63,-0.11,0.06,-0.01
25,8.72,1.05,5.59,-0.10,0.06,-0.02
26,8.66,1.02,5.54,-0.09,0.06,-0.02
27,8.65,1.04,5.60,-0.11,0.07,-0.01
28,8.75,1.03,5.60,-0.11,0.05,-0.01
29,8.78,0.99,5.63,-0.11,0.05,-0.01
30,8.72,1.00,5.54,-0.09,0.07,-0.02
31,8.64,1.03,5.63,-0.09,0.08,-0.02
32,8.66,1.06,5.58,-0.11,0.06,-0.02
33,8.76,1.01,5.62,-0.11,0.06,-0.01
34,8.74,1.05,5.61,-0.10,0.07,-0.02
35,8.68,1.03,5.62,-0.10,0.07,-0.01
36,8.64,1.03,5.62,-0.12,0.06,-0.01
37,8.68,1.04,5.63,-0.11,0.06,-0.01
38,8.74,1.03,5.64,-0.11,0.06,-0.01
39,8.71,1.05,5.62,-0.11,0.06,-0.02
40,8.69,1.06,5.58,-0.11,0.06,-0.01
41,8.67,1.03,5.60,-0.11,0.06,-0.01
42,8.70,1.04,5.61,-0.12,0.06,-0.02
43,8.72,1.01,5.59,-0.11,0.06,-0.02
44,8.68,1.05,5.65,-0.11,0.06,-0.01
45,8.67,1.05,5.63,-0.11,0.05,-0.01
46,8.68,1.04,5.62,-0.11,0.06,-0.01
47,8.70,1.03,5.74,-0.12,0.06,-0.02
48,8.74,1.05,5.54,-0.10,0.05,-0.01
49,8.68,1.00,5.55,-0.09,0.06,-0.01
50,8.63,1.06,5.68,-0.12,0.07,-0.01
51,8.65,1.12,5.70,-0.12,0.03,0.00
52,8.77,1.01,5.60,-0.13,0.04,-0.00
53,8.76,1.01,5.64,-0.13,0.05,-0.01
54,8.71,1.03,5.60,-0.11,0.05,-0.02
55,8.62,1.05,5.55,-0.11,0.05,-0.02
56,8.64,1.02,5.66,-0.12,0.05,-0.01
57,8.74,1.02,5.67,-0.12,0.05,-0.01
58,8.75,1.01,5.57,-0.12,0.04,-0.01
59,8.74,1.00,5.54,-0.10,0.07,-0.02
60,8.65,0.98,5.60,-0.09,0.07,-0.02
61,8.65,1.07,5.58,-0.07,0.06,-0.01
62,8.74,1.04,5.60,-0.07,0.07,-0.01
63,8.73,1.01,5.60,-0.10,0.07,-0.01
64,8.71,1.03,5.63,-0.12,0.06,-0.01
65,8.68,1.02,5.66,-0.12,0.06,-0.01
66,8.68,1.05,5.65,-0.11,0.06,-0.02
67,8.72,1.07,5.60,-0.12,0.05,-0.01
68,8.69,1.06,5.62,-0.12,0.05,-0.01
69,8.68,1.05,5.59,-0.13,0.05,-0.01
70,8.71,1.03,5.63,-0.12,0.05,-0.01
71,8.72,1.05,5.60,-0.12,0.05,-0.02
72,8.69,1.07,5.64,-0.12,0.05,-0.01
73,8.70,1.08,5.59,-0.12,0.05,-0.01
74,8.68,1.06,5.74,-0.14,0.05,-0.01
75,8.70,0.94,5.53,-0.11,0.05,-0.01
76,8.66,1.01,5.57,-0.09,0.07,-0.01
77,8.68,1.08,5.70,-0.11,0.07,-0.01
78,8.71,1.10,5.66,-0.12,0.04,0.00
79,8.78,1.00,5.62,-0.13,0.06,-0.01
80,8.71,1.02,5.62,-0.11,0.06,-0.02
81,8.63,1.04,5.63,-0.10,0.05,-0.02
82,8.60,1.02,5.66,-0.12,0.05,-0.01
83,8.70,1.01,5.69,-0.13,0.03,-0.00
84,8.81,1.02,5.65,-0.13,0.02,-0.01
85,8.78,1.01,5.58,-0.12,0.04,-0.01
86,8.68,0.99,5.58,-0.10,0.04,-0.01
87,8.64,1.01,5.63,-0.13,0.02,-0.01
88,8.74,1.02,5.62,-0.13,0.01,-0.01
89,8.77,0.99,5.60,-0.12,0.02,-0.01
90,8.76,1.02,5.58,-0.11,0.03,-0.01
91,8.71,1.03,5.57,-0.12,0.03,-0.01
92,8.74,1.01,5.54,-0.12,0.04,-0.01
93,8.76,1.00,5.56,-0.12,0.04,-0.01
94,8.75,1.02,5.55,-0.12,0.04,-0.02
95,8.73,1.03,5.51,-0.12,0.03,-0.01
96,8.73,1.04,5.54,-0.12,0.03,-0.01
97,8.77,1.01,5.54,-0.12,0.03,-0.01
98,8.80,1.01,5.55,-0.12,0.02,-0.01
99,8.79,1.04,5.59,-0.14,0.02,-0.01
100,8.82,0.97,5.35,-0.11,0.02,-0.00
101,8.74,0.94,5.42,-0.08,0.04,-0.01
102,8.74,1.01,5.60,-0.12,0.03,-0.01
103,8.77,1.02,5.52,-0.13,0.00,-0.00
104,8.90,0.93,5.49,-0.13,0.03,-0.01
105,8.85,0.96,5.47,-0.11,0.03,-0.01
106,8.74,1.02,5.43,-0.10,0.03,-0.01
107,8.75,0.98,5.42,-0.12,0.02,-0.01
108,8.83,0.98,5.51,-0.12,0.03,-0.01
109,8.88,0.97,5.49,-0.12,0.02,-0.01
110,8.88,0.96,5.36,-0.10,0.03,-0.02
111,8.77,0.97,5.39,-0.09,0.05,-0.02
112,8.71,1.01,5.42,-0.12,0.03,-0.01
113,8.85,0.97,5.41,-0.12,0.02,-0.01
114,8.93,0.96,5.40,-0.11,0.03,-0.01
115,8.86,1.00,5.41,-0.10,0.05,-0.02
116,8.76,0.99,5.43,-0.12,0.03,-0.01
117,8.81,0.99,5.38,-0.12,0.03,-0.01
