STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,8.83,1.01,5.41,-0.12,0.04,-0.01
2,8.84,0.96,5.40,-0.11,0.04,-0.01
3,8.86,0.96,5.37,-0.11,0.05,-0.02
4,8.84,0.97,5.36,-0.11,0.05,-0.02
5,8.83,0.96,5.38,-0.11,0.05,-0.01
6,8.84,0.97,5.39,-0.12,0.04,-0.01
7,8.87,1.00,5.45,-0.14,0.04,-0.01
8,8.90,0.83,5.24,-0.09,0.06,-0.01
9,8.81,0.95,5.40,-0.08,0.06,-0.02
10,8.78,1.05,5.48,-0.12,0.03,0.00
11,8.93,0.98,5.32,-0.13,0.04,-0.00
12,8.98,0.92,5.35,-0.11,0.06,-0.01
13,8.84,0.97,5.32,-0.09,0.06,-0.02
14,8.71,1.00,5.31,-0.11,0.04,-0.01
15,8.80,0.93,5.34,-0.13,0.05,-0.00
16,8.96,0.94,5.41,-0.12,0.05,-0.01
17,8.95,0.97,5.32,-0.11,0.04,-0.01
18,8.83,0.89,5.33,-0.10,0.07,-0.02
19,8.74,0.93,5.33,-0.10,0.06,-0.01
20,8.82,0.93,5.38,-0.12,0.05,-0.01
21,8.94,0.91,5.40,-0.11,0.06,-0.01
22,8.93,0.97,5.39,-0.10,0.07,-0.01
23,8.86,0.97,5.34,-0.11,0.07,-0.01
24,8.78,0.95,5.34,-0.12,0.06,-0.01
25,8.84,0.94,5.35,-0.12,0.06,-0.01
26,8.93,0.96,5.36,-0.11,0.06,-0.01
27,8.89,0.97,5.36,-0.11,0.07,-0.02
28,8.85,0.97,5.38,-0.11,0.08,-0.01
29,8.83,0.95,5.37,-0.12,0.08,-0.01
30,8.85,0.93,5.35,-0.11,0.08,-0.02
31,8.83,0.96,5.41,-0.10,0.08,-0.02
32,8.84,0.95,5.40,-0.11,0.08,-0.01
33,8.89,0.96,5.42,-0.11,0.08,-0.01
34,8.84,0.98,5.44,-0.12,0.09,-0.01
35,8.86,0.98,5.28,-0.11,0.06,-0.01
36,8.76,0.86,5.31,-0.07,0.09,-0.02
37,8.78,1.00,5.50,-0.11,0.09,-0.01
38,8.80,1.06,5.47,-0.12,0.07,-0.00
39,8.92,0.97,5.40,-0.12,0.09,-0.00
40,8.86,0.93,5.47,-0.11,0.10,-0.01
41,8.76,0.99,5.42,-0.09,0.10,-0.02
42,8.75,0.98,5.42,-0.10,0.10,-0.01
43,8.77,0.96,5.51,-0.11,0.10,-0.01
44,8.87,0.99,5.53,-0.12,0.10,-0.01
45,8.88,0.97,5.44,-0.10,0.10,-0.02
46,8.78,0.92,5.44,-0.09,0.13,-0.02
47,8.68,0.96,5.54,-0.08,0.13,-0.02
48,8.72,1.00,5.58,-0.11,0.10,-0.02
49,8.81,0.98,5.58,-0.10,0.10,-0.01
50,8.79,0.98,5.61,-0.09,0.11,-0.02
51,8.71,0.99,5.63,-0.10,0.09,-0.02
52,8.69,1.00,5.57,-0.11,0.08,-0.01
53,8.73,0.99,5.61,-0.10,0.08,-0.01
54,8.75,1.01,5.62,-0.10,0.07,-0.01
55,8.73,0.99,5.61,-0.10,0.07,-0.02
56,8.69,1.02,5.61,-0.09,0.08,-0.01
57,8.68,1.02,5.61,-0.10,0.07,-0.01
58,8.72,1.00,5.63,-0.10,0.07,-0.01
59,8.72,0.99,5.62,-0.10,0.07,-0.01
60,8.69,1.00,5.56,-0.09,0.08,-0.01
61,8.67,1.03,5.60,-0.09,0.09,-0.01
62,8.67,1.01,5.66,-0.07,0.08,-0.01
63,8.71,1.02,5.63,-0.08,0.06,-0.01
64,8.73,1.02,5.67,-0.09,0.07,-0.01
65,8.69,1.03,5.73,-0.09,0.09,-0.01
66,8.68,1.08,5.57,-0.09,0.05,-0.01
67,8.64,0.97,5.52,-0.07,0.07,-0.02
68,8.62,1.12,5.82,-0.13,0.07,-0.01
69,8.67,1.10,5.69,-0.14,0.02,0.01
70,8.78,0.96,5.59,-0.13,0.04,-0.00
71,8.75,1.02,5.66,-0.12,0.06,-0.01
72,8.66,1.07,5.62,-0.10,0.05,-0.02
73,8.65,1.03,5.57,-0.10,0.05,-0.01
74,8.67,1.02,5.68,-0.12,0.06,-0.01
75,8.77,1.02,5.65,-0.11,0.05,-0.01
76,8.74,1.02,5.60,-0.11,0.06,-0.02
77,8.64,1.01,5.58,-0.10,0.07,-0.02
78,8.64,1.03,5.68,-0.10,0.07,-0.01
79,8.69,1.04,5.64,-0.11,0.06,-0.01
80,8.71,1.05,5.62,-0.11,0.06,-0.02
81,8.70,1.04,5.63,-0.11,0.07,-0.01
