STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,9.29,-0.26,4.56,-0.11,0.06,-0.01
2,9.29,-0.25,4.54,-0.10,0.07,-0.01
3,9.30,-0.26,4.58,-0.11,0.07,-0.01
4,9.33,-0.24,4.57,-0.10,0.07,-0.01
5,9.32,-0.25,4.59,-0.11,0.06,-0.02
6,9.28,-0.25,4.60,-0.11,0.06,-0.01
7,9.30,-0.25,4.62,-0.11,0.06,-0.01
8,9.31,-0.27,4.63,-0.10,0.07,-0.02
9,9.28,-0.25,4.60,-0.11,0.06,-0.01
10,9.28,-0.25,4.63,-0.11,0.06,-0.01
11,9.29,-0.25,4.61,-0.11,0.06,-0.01
12,9.29,-0.27,4.60,-0.11,0.06,-0.01
13,9.28,-0.24,4.60,-0.10,0.06,-0.01
14,9.28,-0.26,4.62,-0.11,0.05,-0.01
15,9.32,-0.28,4.64,-0.11,0.06,-0.01
16,9.30,-0.27,4.63,-0.11,0.05,-0.01
17,9.30,-0.24,4.58,-0.11,0.06,-0.02
18,9.30,-0.25,4.63,-0.11,0.06,-0.01
19,9.28,-0.27,4.62,-0.11,0.06,-0.01
20,9.30,-0.26,4.58,-0.11,0.06,-0.01
21,9.30,-0.26,4.55,-0.10,0.07,-0.01
22,9.28,-0.24,4.61,-0.11,0.07,-0.01
23,9.30,-0.24,4.62,-0.12,0.06,-0.00
24,9.32,-0.27,4.66,-0.11,0.06,-0.01
25,9.28,-0.23,4.60,-0.11,0.04,-0.01
26,9.25,-0.26,4.63,-0.11,0.06,-0.01
27,9.33,-0.24,4.63,-0.11,0.07,-0.01
28,9.30,-0.25,4.66,-0.11,0.05,-0.02
29,9.28,-0.23,4.61,-0.10,0.05,-0.01
30,9.28,-0.25,4.59,-0.10,0.06,-0.02
31,9.28,-0.24,4.62,-0.11,0.06,-0.01
32,9.30,-0.22,4.60,-0.11,0.06,-0.01
33,9.29,-0.25,4.62,-0.11,0.05,-0.01
34,9.25,-0.24,4.66,-0.11,0.05,-0.01
35,9.28,-0.25,4.63,-0.11,0.06,-0.01
36,9.31,-0.23,4.64,-0.11,0.05,-0.01
37,9.28,-0.22,4.64,-0.11,0.05,-0.01
38,9.27,-0.24,4.62,-0.11,0.05,-0.01
39,9.28,-0.24,4.63,-0.11,0.05,-0.01
40,9.28,-0.24,4.62,-0.11,0.05,-0.01
41,9.29,-0.27,4.64,-0.11,0.06,-0.01
42,9.30,-0.29,4.61,-0.11,0.05,-0.02
43,9.27,-0.23,4.62,-0.11,0.06,-0.01
44,9.31,-0.25,4.64,-0.11,0.06,-0.01
45,9.30,-0.28,4.64,-0.11,0.05,-0.01
46,9.28,-0.24,4.64,-0.11,0.05,-0.02
47,9.29,-0.24,4.64,-0.11,0.05,-0.01
48,9.29,-0.28,4.62,-0.11,0.05,-0.01
49,9.28,-0.23,4.59,-0.12,0.04,-0.01
50,9.28,-0.26,4.58,-0.11,0.06,-0.01
51,9.30,-0.24,4.63,-0.11,0.06,-0.01
52,9.27,-0.23,4.62,-0.12,0.05,-0.00
53,9.35,-0.28,4.63,-0.12,0.04,-0.01
54,9.30,-0.24,4.61,-0.11,0.04,-0.01
55,9.25,-0.27,4.56,-0.11,0.04,-0.01
56,9.31,-0.27,4.64,-0.12,0.05,-0.01
57,9.35,-0.27,4.62,-0.12,0.04,-0.01
58,9.29,-0.24,4.58,-0.11,0.03,-0.01
59,9.30,-0.28,4.56,-0.11,0.04,-0.01
60,9.30,-0.25,4.61,-0.12,0.05,-0.01
61,9.32,-0.28,4.58,-0.11,0.05,-0.01
62,9.33,-0.23,4.60,-0.11,0.04,-0.02
63,9.29,-0.26,4.55,-0.12,0.04,-0.01
64,9.34,-0.27,4.57,-0.12,0.04,-0.01
65,9.35,-0.26,4.54,-0.10,0.05,-0.02
66,9.33,-0.25,4.56,-0.10,0.04,-0.02
67,9.32,-0.27,4.58,-0.11,0.04,-0.02
68,9.32,-0.23,4.55,-0.11,0.04,-0.01
