STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,9.01,0.80,5.18,-0.12,0.03,-0.02
2,8.96,0.84,5.21,-0.12,0.04,-0.02
3,8.93,0.82,5.22,-0.12,0.05,-0.01
4,8.93,0.80,5.24,-0.12,0.04,-0.01
5,8.96,0.78,5.21,-0.12,0.05,-0.02
6,8.93,0.79,5.20,-0.12,0.06,-0.01
7,8.91,0.79,5.21,-0.12,0.06,-0.01
8,8.94,0.80,5.24,-0.12,0.05,-0.01
9,8.97,0.83,5.29,-0.14,0.06,-0.02
10,9.02,0.75,5.00,-0.10,0.05,-0.01
11,8.87,0.78,5.22,-0.08,0.07,-0.03
12,8.89,0.85,5.32,-0.11,0.06,-0.01
13,8.94,0.83,5.25,-0.12,0.06,-0.00
14,9.04,0.76,5.27,-0.11,0.09,0.00
15,8.95,0.81,5.25,-0.10,0.08,-0.01
16,8.88,0.83,5.19,-0.12,0.07,-0.01
17,8.91,0.75,5.24,-0.12,0.08,-0.01
18,8.97,0.79,5.30,-0.11,0.09,-0.01
19,8.97,0.80,5.35,-0.12,0.09,-0.01
20,8.94,0.79,5.23,-0.11,0.08,-0.02
21,8.89,0.77,5.27,-0.09,0.10,-0.02
22,8.82,0.80,5.34,-0.10,0.09,-0.01
23,8.92,0.79,5.34,-0.10,0.08,-0.01
24,8.96,0.81,5.33,-0.10,0.10,-0.01
25,8.90,0.84,5.33,-0.10,0.10,-0.02
26,8.86,0.79,5.37,-0.11,0.10,-0.01
27,8.88,0.79,5.35,-0.11,0.10,-0.01
28,8.90,0.81,5.36,-0.10,0.11,-0.02
29,8.90,0.85,5.39,-0.11,0.10,-0.02
30,8.83,0.84,5.33,-0.10,0.10,-0.02
31,8.83,0.85,5.38,-0.11,0.11,-0.01
32,8.87,0.83,5.44,-0.11,0.11,-0.01
33,8.86,0.80,5.44,-0.11,0.10,-0.02
34,8.84,0.81,5.44,-0.10,0.11,-0.02
35,8.82,0.81,5.45,-0.10,0.11,-0.02
36,8.83,0.80,5.47,-0.10,0.12,-0.02
37,8.79,0.84,5.48,-0.10,0.12,-0.02
38,8.82,0.88,5.48,-0.12,0.10,-0.01
39,8.77,0.68,5.40,-0.08,0.10,-0.02
40,8.77,0.85,5.55,-0.09,0.13,-0.02
41,8.72,0.94,5.67,-0.11,0.08,-0.00
42,8.75,0.85,5.52,-0.12,0.05,0.01
43,8.87,0.79,5.57,-0.11,0.06,-0.00
44,8.83,0.87,5.55,-0.10,0.06,-0.01
45,8.72,0.86,5.51,-0.10,0.05,-0.01
46,8.73,0.82,5.53,-0.10,0.07,-0.01
47,8.81,0.84,5.60,-0.11,0.06,-0.01
48,8.80,0.83,5.54,-0.11,0.04,-0.01
49,8.81,0.80,5.49,-0.10,0.07,-0.02
50,8.76,0.83,5.53,-0.08,0.08,-0.01
51,8.71,0.87,5.57,-0.11,0.06,-0.02
52,8.78,0.84,5.53,-0.11,0.06,-0.01
53,8.79,0.84,5.56,-0.10,0.07,-0.01
54,8.77,0.86,5.57,-0.11,0.07,-0.01
55,8.71,0.82,5.58,-0.11,0.06,-0.01
56,8.74,0.84,5.57,-0.11,0.06,-0.01
57,8.78,0.86,5.55,-0.11,0.06,-0.01
58,8.78,0.86,5.55,-0.12,0.05,-0.02
59,8.79,0.87,5.54,-0.11,0.05,-0.01
60,8.76,0.85,5.53,-0.11,0.06,-0.02
61,8.77,0.86,5.55,-0.11,0.06,-0.02
62,8.76,0.85,5.56,-0.11,0.06,-0.02
63,8.72,0.83,5.54,-0.11,0.07,-0.01
64,8.74,0.86,5.58,-0.11,0.06,-0.01
65,8.78,0.85,5.55,-0.11,0.06,-0.01
66,8.79,0.81,5.55,-0.11,0.06,-0.02
67,8.74,0.85,5.55,-0.11,0.07,-0.02
68,8.72,0.91,5.58,-0.12,0.04,-0.01
69,8.74,0.73,5.43,-0.09,0.06,-0.01
70,8.72,0.87,5.61,-0.11,0.08,-0.02
71,8.74,0.91,5.67,-0.12,0.04,-0.00
72,8.80,0.83,5.49,-0.12,0.04,0.00
73,8.83,0.83,5.59,-0.12,0.05,-0.01
74,8.77,0.90,5.54,-0.11,0.05,-0.02
75,8.72,0.85,5.51,-0.10,0.05,-0.02
