STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,8.83,0.60,5.46,-0.11,0.05,-0.01
2,8.85,0.60,5.43,-0.11,0.05,-0.02
3,8.85,0.62,5.46,-0.11,0.06,-0.02
4,8.83,0.61,5.44,-0.11,0.06,-0.01
5,8.83,0.60,5.43,-0.11,0.06,-0.01
6,8.82,0.59,5.48,-0.11,0.06,-0.02
7,8.81,0.62,5.47,-0.11,0.06,-0.01
8,8.83,0.62,5.49,-0.12,0.06,-0.01
9,8.84,0.65,5.56,-0.13,0.06,-0.01
10,8.85,0.65,5.35,-0.11,0.03,-0.01
11,8.81,0.58,5.41,-0.07,0.05,-0.02
12,8.78,0.64,5.57,-0.11,0.06,-0.01
13,8.79,0.68,5.54,-0.13,-0.00,0.00
14,8.93,0.57,5.42,-0.13,0.02,0.00
15,8.94,0.61,5.54,-0.12,0.01,-0.01
16,8.84,0.64,5.44,-0.09,-0.00,-0.01
17,8.80,0.57,5.34,-0.10,0.00,-0.01
18,8.85,0.57,5.41,-0.11,0.01,-0.01
19,8.90,0.62,5.43,-0.11,-0.00,-0.00
20,8.92,0.60,5.29,-0.10,-0.01,-0.01
21,8.94,0.56,5.27,-0.09,0.03,-0.02
22,8.84,0.58,5.42,-0.10,0.03,-0.02
23,8.83,0.64,5.35,-0.11,0.00,-0.01
24,8.93,0.62,5.30,-0.11,0.01,-0.01
25,8.95,0.62,5.33,-0.11,0.03,-0.01
26,8.94,0.59,5.32,-0.11,0.03,-0.01
27,8.92,0.60,5.32,-0.11,0.03,-0.01
28,8.93,0.61,5.30,-0.12,0.02,-0.00
29,8.95,0.61,5.25,-0.12,0.03,-0.01
30,8.95,0.62,5.31,-0.12,0.02,-0.01
31,8.95,0.60,5.26,-0.11,0.01,-0.01
32,8.97,0.60,5.26,-0.12,0.03,-0.02
33,8.96,0.58,5.25,-0.11,0.03,-0.02
34,8.95,0.62,5.22,-0.11,0.03,-0.02
35,8.91,0.62,5.22,-0.12,0.03,-0.01
36,8.96,0.60,5.22,-0.12,0.04,-0.01
37,9.00,0.62,5.21,-0.13,0.05,-0.01
38,9.00,0.61,5.15,-0.14,0.04,-0.01
39,8.87,0.43,5.12,-0.09,0.07,-0.02
40,8.91,0.57,5.26,-0.11,0.08,-0.02
41,8.94,0.69,5.24,-0.13,0.04,-0.01
42,9.02,0.60,5.25,-0.13,0.07,-0.01
43,9.01,0.59,5.23,-0.11,0.08,-0.01
44,8.91,0.67,5.21,-0.12,0.07,-0.01
45,8.89,0.58,5.19,-0.13,0.06,-0.02
46,8.99,0.56,5.22,-0.12,0.08,-0.02
47,8.98,0.57,5.26,-0.11,0.10,-0.02
48,8.93,0.57,5.23,-0.11,0.09,-0.02
49,8.97,0.55,5.18,-0.10,0.11,-0.02
50,8.88,0.58,5.24,-0.09,0.15,-0.02
51,8.84,0.60,5.33,-0.11,0.13,-0.02
52,8.94,0.63,5.31,-0.11,0.14,-0.01
53,8.97,0.67,5.38,-0.11,0.16,-0.01
54,8.89,0.61,5.44,-0.11,0.14,-0.02
55,8.84,0.60,5.48,-0.11,0.12,-0.02
56,8.85,0.61,5.50,-0.11,0.11,-0.01
57,8.89,0.62,5.45,-0.11,0.09,-0.01
58,8.88,0.61,5.49,-0.11,0.08,-0.01
59,8.85,0.63,5.42,-0.10,0.08,-0.01
60,8.83,0.61,5.49,-0.11,0.08,-0.01
61,8.82,0.58,5.48,-0.11,0.07,-0.01
62,8.81,0.55,5.45,-0.12,0.07,-0.01
63,8.83,0.59,5.45,-0.11,0.07,-0.01
64,8.87,0.64,5.46,-0.10,0.05,-0.01
65,8.89,0.66,5.41,-0.11,0.06,-0.02
66,8.85,0.65,5.54,-0.11,0.07,-0.02
67,8.84,0.63,5.44,-0.11,0.04,-0.01
68,8.77,0.52,5.35,-0.08,0.07,-0.01
69,8.81,0.61,5.52,-0.12,0.08,-0.01
