STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,8.72,0.65,5.56,-0.09,0.08,-0.02
2,8.74,0.68,5.51,-0.11,0.06,-0.01
3,8.85,0.69,5.53,-0.11,0.07,-0.01
4,8.86,0.71,5.52,-0.10,0.08,-0.02
5,8.75,0.72,5.51,-0.10,0.07,-0.02
6,8.72,0.71,5.51,-0.12,0.07,-0.01
7,8.82,0.68,5.54,-0.12,0.06,-0.00
8,8.86,0.70,5.54,-0.12,0.06,-0.01
9,8.80,0.71,5.50,-0.11,0.06,-0.02
10,8.76,0.71,5.52,-0.11,0.07,-0.02
11,8.77,0.70,5.54,-0.11,0.07,-0.01
12,8.80,0.70,5.52,-0.11,0.06,-0.01
13,8.81,0.67,5.53,-0.11,0.06,-0.01
14,8.79,0.71,5.49,-0.11,0.06,-0.01
15,8.79,0.75,5.57,-0.13,0.04,-0.01
16,8.78,0.55,5.34,-0.08,0.06,-0.01
17,8.74,0.70,5.58,-0.10,0.10,-0.02
18,8.71,0.79,5.67,-0.13,0.03,-0.00
19,8.84,0.68,5.45,-0.12,0.03,0.00
20,8.87,0.66,5.54,-0.12,0.06,-0.01
21,8.77,0.73,5.49,-0.10,0.05,-0.02
22,8.71,0.71,5.46,-0.10,0.04,-0.01
23,8.75,0.67,5.52,-0.12,0.06,-0.01
24,8.85,0.69,5.58,-0.11,0.05,-0.01
25,8.86,0.69,5.47,-0.11,0.05,-0.01
26,8.76,0.68,5.46,-0.09,0.07,-0.02
27,8.71,0.68,5.56,-0.11,0.06,-0.02
28,8.81,0.67,5.54,-0.12,0.06,-0.01
29,8.84,0.68,5.54,-0.11,0.06,-0.02
30,8.82,0.70,5.53,-0.11,0.07,-0.02
31,8.74,0.71,5.53,-0.11,0.06,-0.01
32,8.75,0.71,5.52,-0.12,0.06,-0.01
33,8.83,0.69,5.54,-0.11,0.06,-0.01
34,8.84,0.69,5.55,-0.11,0.06,-0.02
35,8.79,0.74,5.55,-0.11,0.06,-0.01
36,8.77,0.70,5.51,-0.12,0.06,-0.01
37,8.78,0.67,5.53,-0.11,0.06,-0.02
38,8.80,0.69,5.55,-0.10,0.06,-0.02
39,8.78,0.71,5.53,-0.11,0.06,-0.01
40,8.82,0.70,5.54,-0.12,0.06,-0.01
41,8.77,0.72,5.64,-0.13,0.06,-0.01
42,8.81,0.64,5.32,-0.09,0.05,-0.00
43,8.75,0.70,5.51,-0.08,0.07,-0.02
44,8.77,0.76,5.71,-0.13,0.04,-0.01
45,8.81,0.74,5.53,-0.12,0.03,-0.00
46,8.86,0.67,5.53,-0.12,0.06,-0.01
47,8.77,0.74,5.52,-0.11,0.05,-0.01
48,8.74,0.72,5.46,-0.09,0.05,-0.01
49,8.74,0.66,5.53,-0.11,0.06,-0.01
50,8.78,0.68,5.59,-0.12,0.05,-0.00
51,8.87,0.73,5.51,-0.11,0.04,-0.01
52,8.80,0.70,5.51,-0.10,0.07,-0.02
53,8.74,0.68,5.52,-0.10,0.07,-0.02
54,8.77,0.71,5.52,-0.11,0.06,-0.02
55,8.79,0.69,5.55,-0.11,0.06,-0.01
56,8.79,0.72,5.52,-0.11,0.05,-0.01
57,8.78,0.73,5.52,-0.12,0.06,-0.02
58,8.73,0.68,5.56,-0.11,0.06,-0.01
59,8.74,0.71,5.54,-0.12,0.06,-0.00
60,8.81,0.72,5.51,-0.12,0.05,-0.01
61,8.81,0.70,5.54,-0.12,0.05,-0.01
62,8.80,0.66,5.56,-0.11,0.06,-0.01
63,8.76,0.71,5.55,-0.11,0.06,-0.01
64,8.77,0.72,5.49,-0.11,0.06,-0.01
65,8.79,0.74,5.52,-0.11,0.06,-0.01
66,8.81,0.72,5.51,-0.11,0.05,-0.02
67,8.77,0.67,5.56,-0.12,0.05,-0.02
68,8.77,0.70,5.55,-0.11,0.06,-0.01
69,8.80,0.75,5.54,-0.11,0.04,-0.01
70,8.73,0.60,5.41,-0.07,0.07,-0.01
71,8.74,0.75,5.68,-0.12,0.07,-0.01
72,8.77,0.75,5.57,-0.13,0.02,0.00
73,8.88,0.67,5.49,-0.12,0.05,-0.00
74,8.82,0.69,5.55,-0.12,0.05,-0.01
75,8.76,0.73,5.50,-0.10,0.05,-0.02
76,8.72,0.69,5.48,-0.10,0.05,-0.02
77,8.76,0.68,5.57,-0.12,0.06,-0.01
78,8.86,0.71,5.55,-0.12,0.04,-0.01
79,8.85,0.69,5.50,-0.11,0.06,-0.01
80,8.77,0.69,5.47,-0.09,0.08,-0.02
81,8.69,0.68,5.57,-0.11,0.06,-0.02
82,8.78,0.68,5.54,-0.12,0.05,-0.01
83,8.83,0.68,5.53,-0.11,0.06,-0.01
84,8.80,0.71,5.55,-0.11,0.06,-0.01
85,8.75,0.71,5.53,-0.11,0.06,-0.01
86,8.72,0.69,5.54,-0.12,0.06,-0.01
87,8.81,0.71,5.52,-0.11,0.06,-0.01
88,8.82,0.70,5.53,-0.11,0.05,-0.02
89,8.79,0.72,5.53,-0.11,0.06,-0.01
90,8.78,0.71,5.54,-0.11,0.06,-0.01
91,8.80,0.70,5.54,-0.11,0.07,-0.02
92,8.79,0.70,5.56,-0.11,0.06,-0.01
93,8.76,0.71,5.58,-0.11,0.04,-0.01
94,8.79,0.68,5.59,-0.12,0.03,-0.01
95,8.81,0.69,5.55,-0.12,0.04,-0.01
96,8.80,0.74,5.52,-0.11,0.01,-0.01
97,8.74,0.57,5.38,-0.08,0.02,-0.01
98,8.77,0.71,5.58,-0.12,0.05,-0.01
99,8.75,0.79,5.57,-0.13,0.01,0.00
100,8.86,0.70,5.46,-0.12,0.02,0.00
101,8.85,0.70,5.54,-0.13,0.03,-0.00
102,8.81,0.76,5.49,-0.11,0.02,-0.01
103,8.79,0.70,5.43,-0.11,0.02,-0.01
104,8.84,0.66,5.51,-0.12,0.02,-0.00
105,8.92,0.67,5.50,-0.11,0.01,-0.01
106,8.90,0.68,5.40,-0.10,0.02,-0.02
107,8.78,0.66,5.40,-0.09,0.04,-0.02
108,8.74,0.68,5.50,-0.11,0.02,-0.01
109,8.87,0.64,5.48,-0.11,0.00,0.00
110,8.94,0.66,5.42,-0.10,-0.00,-0.00
111,8.90,0.67,5.41,-0.10,0.01,-0.01
112,8.85,0.69,5.38,-0.11,0.01,-0.01
113,8.80,0.69,5.41,-0.12,-0.01,-0.00
114,8.91,0.68,5.36,-0.11,-0.01,-0.01
115,8.96,0.68,5.35,-0.10,-0.00,-0.02
116,8.89,0.69,5.32,-0.11,0.00,-0.02
117,8.89,0.70,5.29,-0.11,0.01,-0.01
118,8.91,0.67,5.29,-0.11,0.01,-0.01
119,8.95,0.68,5.27,-0.11,0.01,-0.02
120,8.96,0.67,5.25,-0.12,0.02,-0.02
121,8.93,0.70,5.26,-0.12,0.03,-0.01
122,8.92,0.75,5.25,-0.14,0.02,-0.01
123,8.91,0.52,5.09,-0.10,0.05,-0.01
124,8.89,0.66,5.27,-0.11,0.06,-0.02
125,8.91,0.74,5.34,-0.13,0.03,-0.00
126,8.99,0.68,5.18,-0.13,0.05,-0.00
127,9.01,0.67,5.24,-0.12,0.07,-0.01
128,8.91,0.72,5.23,-0.11,0.07,-0.01
129,8.86,0.65,5.21,-0.12,0.06,-0.01
130,8.92,0.64,5.27,-0.12,0.07,-0.01
131,9.01,0.67,5.31,-0.12,0.07,-0.01
132,9.04,0.68,5.15,-0.10,0.09,-0.01
133,8.91,0.65,5.21,-0.11,0.12,-0.01
134,8.83,0.67,5.29,-0.11,0.09,-0.01
135,8.93,0.63,5.32,-0.12,0.08,-0.01
136,9.00,0.68,5.35,-0.10,0.09,-0.01
137,8.95,0.68,5.30,-0.10,0.11,-0.02
138,8.86,0.68,5.31,-0.11,0.12,-0.02
139,8.84,0.69,5.37,-0.12,0.11,-0.01
140,8.89,0.66,5.41,-0.12,0.10,-0.01
141,8.96,0.65,5.39,-0.11,0.09,-0.01
142,8.91,0.69,5.40,-0.11,0.10,-0.02
143,8.83,0.69,5.38,-0.11,0.11,-0.02
144,8.81,0.69,5.35,-0.11,0.13,-0.02
145,8.84,0.68,5.42,-0.11,0.13,-0.02
146,8.84,0.68,5.44,-0.11,0.12,-0.02
147,8.86,0.69,5.48,-0.11,0.12,-0.01
148,8.81,0.73,5.57,-0.12,0.11,-0.01
149,8.83,0.56,5.35,-0.06,0.10,-0.01
150,8.79,0.65,5.53,-0.07,0.12,-0.02
151,8.76,0.76,5.69,-0.11,0.08,-0.01
152,8.79,0.68,5.52,-0.11,0.04,-0.00
153,8.89,0.62,5.56,-0.12,0.07,-0.01
154,8.82,0.71,5.56,-0.10,0.07,-0.02
155,8.73,0.73,5.48,-0.09,0.06,-0.02
156,8.72,0.68,5.47,-0.11,0.06,-0.01
157,8.80,0.72,5.59,-0.12,0.06,-0.01
158,8.87,0.74,5.51,-0.10,0.04,-0.01
159,8.86,0.71,5.47,-0.10,0.07,-0.02
160,8.78,0.72,5.51,-0.09,0.08,-0.02
161,8.75,0.75,5.53,-0.11,0.06,-0.02
162,8.81,0.75,5.50,-0.11,0.06,-0.02
163,8.83,0.73,5.53,-0.11,0.07,-0.02
164,8.78,0.73,5.58,-0.11,0.07,-0.02
165,8.71,0.72,5.54,-0.12,0.06,-0.01
166,8.77,0.71,5.55,-0.12,0.06,-0.00
167,8.79,0.69,5.54,-0.11,0.06,-0.00
168,8.82,0.73,5.49,-0.12,0.05,-0.01
169,8.79,0.70,5.54,-0.12,0.05,-0.01
170,8.78,0.66,5.54,-0.12,0.05,-0.01
171,8.81,0.71,5.54,-0.11,0.06,-0.02
172,8.80,0.72,5.53,-0.10,0.06,-0.02
173,8.78,0.70,5.55,-0.10,0.06,-0.01
174,8.76,0.70,5.55,-0.11,0.06,-0.01
175,8.79,0.72,5.53,-0.11,0.07,-0.01
176,8.80,0.78,5.49,-0.11,0.04,-0.01
177,8.74,0.60,5.39,-0.07,0.07,-0.01
178,8.72,0.75,5.68,-0.12,0.08,-0.02
179,8.75,0.79,5.62,-0.13,0.02,-0.00
180,8.83,0.66,5.47,-0.11,0.04,-0.00
181,8.83,0.69,5.56,-0.12,0.05,-0.01
182,8.76,0.76,5.50,-0.10,0.05,-0.01
183,8.75,0.71,5.45,-0.10,0.05,-0.01
184,8.80,0.69,5.54,-0.12,0.06,-0.01
185,8.87,0.74,5.55,-0.11,0.05,-0.01
186,8.83,0.71,5.49,-0.11,0.06,-0.01
187,8.76,0.68,5.48,-0.09,0.08,-0.02
188,8.72,0.70,5.56,-0.11,0.06,-0.02
189,8.83,0.71,5.54,-0.12,0.06,-0.01
190,8.83,0.70,5.53,-0.11,0.06,-0.01
191,8.78,0.71,5.56,-0.11,0.06,-0.01
192,8.75,0.69,5.53,-0.11,0.06,-0.01
193,8.77,0.71,5.55,-0.12,0.06,-0.01
194,8.81,0.73,5.52,-0.11,0.06,-0.01
195,8.81,0.71,5.56,-0.12,0.06,-0.01
196,8.78,0.73,5.56,-0.11,0.05,-0.01
197,8.75,0.69,5.55,-0.11,0.06,-0.01
198,8.78,0.70,5.57,-0.11,0.05,-0.02
199,8.76,0.70,5.52,-0.11,0.05,-0.01
200,8.80,0.71,5.51,-0.11,0.06,-0.01
