STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,8.96,-1.14,5.15,-0.11,0.04,-0.01
2,8.93,-1.10,5.12,-0.12,0.04,-0.01
3,8.92,-1.10,5.13,-0.12,0.04,-0.01
4,8.94,-1.11,5.16,-0.11,0.05,-0.01
5,8.94,-1.09,5.14,-0.11,0.04,-0.02
6,8.93,-1.10,5.14,-0.11,0.04,-0.02
7,8.94,-1.12,5.10,-0.11,0.04,-0.01
8,8.94,-1.08,5.12,-0.11,0.04,-0.01
9,8.94,-1.12,5.14,-0.11,0.05,-0.01
10,8.95,-1.09,5.08,-0.11,0.04,-0.01
11,8.94,-1.10,5.11,-0.11,0.05,-0.01
12,8.94,-1.10,5.08,-0.12,0.05,-0.01
13,8.96,-1.11,5.12,-0.12,0.05,-0.01
14,8.93,-1.16,5.03,-0.10,0.06,-0.01
15,8.93,-1.08,5.09,-0.11,0.06,-0.01
16,8.94,-1.08,5.15,-0.11,0.06,-0.01
17,8.94,-1.12,5.12,-0.11,0.06,-0.00
18,8.95,-1.10,5.10,-0.11,0.05,-0.01
19,8.91,-1.11,5.11,-0.11,0.06,-0.01
20,8.95,-1.13,5.13,-0.11,0.07,-0.01
21,8.94,-1.11,5.18,-0.12,0.06,-0.01
22,8.94,-1.08,5.10,-0.11,0.05,-0.01
23,8.92,-1.12,5.07,-0.11,0.06,-0.01
24,8.92,-1.11,5.15,-0.11,0.08,-0.01
25,8.96,-1.12,5.12,-0.11,0.07,-0.01
26,8.92,-1.09,5.16,-0.12,0.06,-0.01
27,8.92,-1.13,5.14,-0.11,0.07,-0.01
28,8.94,-1.13,5.13,-0.11,0.07,-0.01
29,8.93,-1.12,5.17,-0.11,0.07,-0.01
30,8.91,-1.12,5.16,-0.11,0.06,-0.01
31,8.92,-1.13,5.19,-0.11,0.07,-0.01
32,8.90,-1.12,5.15,-0.11,0.07,-0.01
33,8.92,-1.09,5.19,-0.11,0.08,-0.01
34,8.91,-1.12,5.16,-0.10,0.08,-0.01
35,8.89,-1.12,5.20,-0.11,0.08,-0.01
36,8.90,-1.11,5.19,-0.11,0.08,-0.01
37,8.90,-1.12,5.22,-0.11,0.07,-0.01
38,8.89,-1.15,5.16,-0.10,0.07,-0.02
39,8.88,-1.10,5.19,-0.10,0.09,-0.01
40,8.84,-1.09,5.24,-0.11,0.08,-0.01
41,8.90,-1.10,5.26,-0.10,0.07,-0.00
