STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,8.88,0.88,5.35,-0.11,0.03,-0.01
2,8.91,0.89,5.32,-0.11,0.03,-0.02
3,8.86,0.91,5.33,-0.11,0.04,-0.02
4,8.86,0.91,5.35,-0.12,0.03,-0.01
5,8.87,0.92,5.32,-0.13,0.03,-0.01
6,8.93,0.92,5.30,-0.14,0.02,-0.01
7,8.83,0.75,5.21,-0.09,0.04,-0.02
8,8.86,0.93,5.30,-0.11,0.05,-0.02
9,8.87,0.98,5.35,-0.13,0.03,-0.00
10,8.98,0.91,5.28,-0.13,0.04,-0.00
11,8.97,0.85,5.29,-0.11,0.06,-0.01
12,8.85,0.94,5.26,-0.10,0.06,-0.02
13,8.79,0.92,5.25,-0.12,0.05,-0.01
14,8.89,0.85,5.31,-0.13,0.05,-0.00
15,9.02,0.89,5.35,-0.12,0.05,-0.01
16,9.00,0.88,5.19,-0.10,0.05,-0.01
17,8.85,0.85,5.27,-0.10,0.07,-0.02
18,8.82,0.87,5.24,-0.11,0.06,-0.01
19,8.88,0.88,5.29,-0.12,0.06,-0.01
20,8.98,0.88,5.34,-0.11,0.07,-0.01
21,8.96,0.92,5.32,-0.10,0.08,-0.01
22,8.88,0.91,5.30,-0.11,0.09,-0.01
23,8.83,0.89,5.32,-0.12,0.09,-0.01
24,8.94,0.88,5.32,-0.12,0.08,-0.01
25,8.94,0.87,5.31,-0.11,0.07,-0.02
26,8.94,0.90,5.35,-0.11,0.08,-0.02
27,8.84,0.90,5.34,-0.11,0.09,-0.02
28,8.87,0.89,5.32,-0.10,0.10,-0.02
29,8.86,0.92,5.36,-0.11,0.09,-0.02
30,8.87,0.91,5.36,-0.10,0.09,-0.02
31,8.90,0.90,5.35,-0.11,0.10,-0.01
32,8.85,0.94,5.43,-0.12,0.12,-0.02
33,8.86,0.92,5.21,-0.09,0.10,-0.01
34,8.78,0.84,5.33,-0.07,0.12,-0.03
35,8.79,0.94,5.46,-0.10,0.14,-0.02
36,8.80,1.00,5.54,-0.10,0.13,-0.01
37,8.86,0.90,5.46,-0.11,0.13,-0.01
38,8.87,0.90,5.52,-0.09,0.13,-0.02
39,8.75,0.95,5.56,-0.08,0.12,-0.02
40,8.71,0.95,5.54,-0.09,0.10,-0.01
41,8.76,0.91,5.55,-0.10,0.10,-0.01
42,8.83,0.94,5.63,-0.11,0.09,-0.01
43,8.82,0.94,5.57,-0.09,0.07,-0.01
44,8.76,0.91,5.50,-0.08,0.10,-0.02
45,8.69,0.91,5.59,-0.08,0.09,-0.02
46,8.70,0.95,5.63,-0.11,0.06,-0.01
47,8.77,0.97,5.60,-0.10,0.07,-0.01
48,8.77,0.98,5.60,-0.09,0.08,-0.02
49,8.72,0.95,5.59,-0.10,0.06,-0.01
50,8.70,0.96,5.58,-0.12,0.06,-0.01
51,8.74,0.95,5.58,-0.11,0.06,-0.01
52,8.77,0.96,5.60,-0.11,0.06,-0.02
53,8.72,0.96,5.59,-0.11,0.05,-0.02
54,8.71,0.95,5.53,-0.11,0.06,-0.01
55,8.70,0.97,5.59,-0.11,0.06,-0.01
56,8.73,0.97,5.63,-0.12,0.05,-0.01
57,8.77,0.94,5.56,-0.11,0.06,-0.01
58,8.72,0.94,5.59,-0.11,0.07,-0.02
59,8.71,0.98,5.59,-0.11,0.07,-0.01
60,8.71,0.97,5.58,-0.11,0.06,-0.01
61,8.74,0.97,5.56,-0.12,0.05,-0.01
62,8.79,0.95,5.57,-0.11,0.06,-0.02
63,8.70,1.00,5.67,-0.13,0.05,-0.01
64,8.72,0.84,5.41,-0.09,0.06,-0.01
65,8.71,0.95,5.58,-0.09,0.09,-0.02
66,8.69,1.07,5.74,-0.12,0.05,0.00
67,8.75,0.95,5.53,-0.12,0.03,0.00
68,8.84,0.91,5.61,-0.12,0.05,-0.01
69,8.78,0.98,5.55,-0.10,0.06,-0.02
70,8.66,0.98,5.56,-0.10,0.05,-0.02
71,8.66,0.95,5.56,-0.11,0.06,-0.01
72,8.76,0.97,5.61,-0.12,0.05,-0.00
73,8.82,0.94,5.59,-0.12,0.05,-0.01
74,8.77,0.94,5.53,-0.11,0.06,-0.02
75,8.68,0.96,5.56,-0.09,0.08,-0.02
76,8.67,0.95,5.62,-0.12,0.05,-0.02
77,8.75,0.96,5.58,-0.12,0.05,-0.01
78,8.78,0.94,5.57,-0.10,0.06,-0.01
79,8.72,0.97,5.62,-0.11,0.06,-0.01
80,8.71,0.98,5.58,-0.12,0.06,-0.01
81,8.71,0.97,5.60,-0.12,0.06,-0.01
82,8.74,0.99,5.58,-0.11,0.06,-0.01
83,8.76,0.99,5.57,-0.11,0.05,-0.02
84,8.73,0.97,5.57,-0.11,0.06,-0.01
85,8.70,0.94,5.56,-0.11,0.06,-0.01
86,8.71,0.96,5.57,-0.11,0.06,-0.01
87,8.72,0.97,5.59,-0.11,0.06,-0.01
88,8.73,0.98,5.58,-0.11,0.05,-0.01
89,8.72,0.96,5.62,-0.12,0.06,-0.01
90,8.75,0.96,5.58,-0.12,0.06,-0.01
91,8.73,0.96,5.60,-0.11,0.07,-0.02
92,8.71,0.97,5.57,-0.11,0.06,-0.01
93,8.72,0.97,5.60,-0.12,0.05,-0.01
94,8.76,0.96,5.58,-0.12,0.06,-0.01
95,8.72,1.00,5.70,-0.13,0.06,-0.02
96,8.74,0.93,5.43,-0.10,0.05,-0.01
97,8.68,0.91,5.56,-0.08,0.07,-0.02
98,8.71,1.04,5.72,-0.13,0.05,-0.01
99,8.72,1.00,5.59,-0.13,0.03,0.00
100,8.79,0.91,5.61,-0.13,0.04,-0.01
101,8.79,0.94,5.60,-0.12,0.04,-0.01
102,8.69,0.99,5.58,-0.10,0.04,-0.02
103,8.67,0.94,5.54,-0.12,0.04,-0.01
104,8.73,0.95,5.63,-0.12,0.04,-0.01
105,8.85,0.95,5.63,-0.12,0.03,-0.01
106,8.76,0.96,5.52,-0.12,0.03,-0.01
107,8.73,0.93,5.52,-0.10,0.05,-0.02
108,8.66,0.92,5.59,-0.11,0.04,-0.02
109,8.73,0.94,5.56,-0.12,0.02,-0.01
110,8.82,0.92,5.53,-0.12,0.02,-0.00
111,8.82,0.97,5.54,-0.12,0.03,-0.01
112,8.77,0.93,5.54,-0.12,0.03,-0.01
113,8.74,0.91,5.53,-0.12,0.03,-0.01
114,8.76,0.94,5.51,-0.12,0.02,-0.01
115,8.79,0.93,5.51,-0.12,0.01,-0.01
116,8.83,0.94,5.53,-0.12,0.01,-0.01
117,8.81,0.93,5.48,-0.12,0.02,-0.01
118,8.81,0.92,5.48,-0.12,0.02,-0.01
119,8.82,0.93,5.46,-0.12,0.01,-0.01
120,8.85,0.93,5.44,-0.12,0.02,-0.01
121,8.81,0.93,5.47,-0.11,0.02,-0.01
122,8.80,0.90,5.42,-0.11,0.01,-0.01
123,8.84,0.92,5.44,-0.11,0.02,-0.01
124,8.82,0.92,5.43,-0.12,0.01,-0.01
125,8.86,0.97,5.46,-0.14,0.00,-0.01
126,8.86,0.79,5.29,-0.10,0.02,-0.01
127,8.83,0.93,5.36,-0.09,0.03,-0.01
128,8.83,1.00,5.46,-0.12,0.00,-0.00
129,8.94,0.93,5.33,-0.14,0.01,0.00
130,8.99,0.84,5.35,-0.12,0.03,-0.01
131,8.87,0.94,5.33,-0.10,0.04,-0.02
132,8.78,0.93,5.32,-0.11,0.02,-0.01
133,8.85,0.89,5.35,-0.12,0.03,-0.00
134,8.95,0.90,5.37,-0.12,0.03,-0.01
135,8.97,0.89,5.35,-0.12,0.02,-0.01
136,8.90,0.85,5.26,-0.10,0.06,-0.02
137,8.81,0.90,5.28,-0.09,0.05,-0.01
138,8.82,0.89,5.31,-0.13,0.03,-0.01
139,8.97,0.88,5.32,-0.12,0.05,-0.01
140,8.93,0.89,5.30,-0.11,0.06,-0.01
141,8.82,0.94,5.33,-0.11,0.06,-0.01
142,8.84,0.89,5.28,-0.13,0.05,-0.00
143,8.91,0.90,5.32,-0.13,0.05,-0.00
