STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,9.05,0.68,5.18,-0.16,0.16,-0.01
2,9.05,0.70,5.25,-0.13,0.17,-0.02
3,9.01,0.71,5.24,-0.12,0.16,-0.02
4,8.94,0.69,5.18,-0.12,0.17,-0.03
5,8.89,0.70,5.21,-0.14,0.17,-0.02
6,8.85,0.75,5.47,-0.17,0.13,-0.01
7,9.01,0.56,5.21,-0.10,0.08,-0.00
8,8.98,0.62,5.27,-0.06,0.12,-0.03
9,8.89,0.77,5.43,-0.10,0.12,-0.02
10,8.86,0.79,5.34,-0.12,0.08,-0.01
11,8.96,0.68,5.35,-0.13,0.08,-0.00
12,8.94,0.66,5.32,-0.11,0.09,-0.02
13,8.88,0.74,5.34,-0.10,0.10,-0.02
14,8.81,0.69,5.27,-0.10,0.11,-0.02
15,8.85,0.72,5.34,-0.10,0.14,-0.01
16,8.91,0.75,5.40,-0.10,0.13,-0.01
17,8.91,0.71,5.39,-0.10,0.12,-0.02
18,8.89,0.67,5.39,-0.07,0.14,-0.03
19,8.79,0.68,5.56,-0.09,0.12,-0.03
20,8.78,0.72,5.52,-0.09,0.10,-0.02
21,8.84,0.71,5.52,-0.09,0.09,-0.01
22,8.84,0.71,5.53,-0.10,0.09,-0.01
23,8.82,0.73,5.49,-0.10,0.08,-0.01
24,8.78,0.76,5.51,-0.10,0.08,-0.02
25,8.80,0.78,5.52,-0.10,0.08,-0.01
26,8.83,0.75,5.53,-0.10,0.06,-0.01
27,8.81,0.75,5.51,-0.10,0.06,-0.02
28,8.79,0.75,5.51,-0.10,0.06,-0.01
29,8.80,0.75,5.52,-0.10,0.06,-0.02
30,8.83,0.77,5.48,-0.11,0.06,-0.02
31,8.83,0.76,5.49,-0.11,0.07,-0.02
32,8.79,0.75,5.51,-0.10,0.08,-0.02
33,8.75,0.78,5.53,-0.10,0.07,-0.01
34,8.79,0.76,5.54,-0.12,0.06,-0.01
35,8.79,0.76,5.53,-0.11,0.07,-0.01
36,8.78,0.82,5.54,-0.13,0.05,-0.01
37,8.77,0.62,5.36,-0.09,0.06,-0.01
38,8.76,0.77,5.52,-0.09,0.10,-0.01
39,8.71,0.85,5.72,-0.13,0.05,-0.00
40,8.83,0.76,5.47,-0.13,0.03,0.00
41,8.85,0.66,5.56,-0.12,0.06,-0.01
42,8.78,0.72,5.53,-0.11,0.05,-0.01
43,8.70,0.73,5.49,-0.10,0.04,-0.01
44,8.76,0.71,5.50,-0.11,0.06,-0.01
45,8.82,0.74,5.57,-0.11,0.05,-0.01
46,8.87,0.72,5.53,-0.11,0.04,-0.01
47,8.82,0.75,5.47,-0.11,0.06,-0.02
48,8.76,0.72,5.51,-0.09,0.08,-0.02
49,8.74,0.75,5.54,-0.11,0.06,-0.02
50,8.79,0.76,5.50,-0.11,0.05,-0.01
51,8.82,0.76,5.51,-0.11,0.06,-0.01
52,8.80,0.77,5.54,-0.11,0.06,-0.01
53,8.77,0.72,5.50,-0.11,0.06,-0.01
54,8.76,0.76,5.54,-0.11,0.06,-0.01
55,8.79,0.75,5.53,-0.11,0.06,-0.01
56,8.83,0.77,5.54,-0.12,0.05,-0.01
57,8.81,0.73,5.51,-0.11,0.06,-0.02
58,8.79,0.74,5.51,-0.10,0.07,-0.02
59,8.71,0.75,5.53,-0.11,0.06,-0.02
60,8.71,0.76,5.52,-0.12,0.05,-0.02
61,8.79,0.75,5.53,-0.12,0.06,-0.01
62,8.83,0.76,5.57,-0.11,0.07,-0.01
63,8.78,0.77,5.55,-0.10,0.06,-0.01
64,8.75,0.76,5.52,-0.11,0.06,-0.02
65,8.75,0.77,5.50,-0.12,0.05,-0.01
66,8.78,0.78,5.63,-0.13,0.05,-0.01
67,8.82,0.68,5.36,-0.10,0.04,-0.01
68,8.78,0.78,5.55,-0.07,0.06,-0.01
69,8.74,0.87,5.66,-0.12,0.03,-0.00
70,8.77,0.78,5.49,-0.13,0.01,0.01
71,8.89,0.71,5.51,-0.13,0.04,-0.00
72,8.77,0.80,5.71,-0.10,-0.01,0.00
73,8.83,0.79,5.47,-0.11,-0.04,-0.00
74,8.85,0.70,5.41,-0.10,0.01,-0.02
75,8.75,0.75,5.61,-0.10,-0.03,-0.00
76,8.87,0.73,5.41,-0.13,-0.06,-0.00
77,8.92,0.72,5.38,-0.12,-0.01,-0.01
78,8.88,0.72,5.34,-0.09,0.01,-0.01
79,8.81,0.72,5.39,-0.11,0.00,-0.01
80,8.85,0.75,5.38,-0.11,-0.01,-0.01
81,8.94,0.72,5.32,-0.11,-0.01,-0.00
82,8.93,0.75,5.36,-0.11,0.01,-0.01
83,8.92,0.72,5.40,-0.10,-0.02,-0.01
84,8.91,0.70,5.32,-0.09,-0.00,-0.02
85,8.93,0.79,5.25,-0.11,-0.00,-0.01
86,8.91,0.79,5.27,-0.11,-0.02,-0.01
87,8.97,0.74,5.23,-0.11,-0.01,-0.02
88,8.97,0.72,5.23,-0.10,0.01,-0.02
89,8.94,0.77,5.28,-0.10,-0.02,-0.01
90,8.97,0.74,5.18,-0.10,-0.00,-0.02
91,8.96,0.78,5.23,-0.10,0.01,-0.02
92,9.00,0.76,5.12,-0.10,0.01,-0.01
93,8.98,0.74,5.17,-0.10,0.02,-0.01
94,9.00,0.75,5.22,-0.11,0.01,-0.01
95,8.98,0.72,5.19,-0.12,0.00,-0.01
96,8.99,0.72,5.14,-0.12,0.01,-0.01
97,9.00,0.79,5.19,-0.13,0.01,-0.01
98,9.10,0.70,4.86,-0.11,0.01,-0.00
99,9.02,0.74,5.00,-0.07,0.03,-0.02
100,9.01,0.83,5.22,-0.11,0.02,-0.01
101,9.07,0.80,5.07,-0.13,0.01,-0.01
102,9.14,0.75,5.11,-0.12,0.03,-0.01
103,9.07,0.79,5.05,-0.11,0.04,-0.02
104,8.97,0.78,5.07,-0.10,0.02,-0.02
105,9.01,0.68,5.05,-0.11,0.04,-0.01
106,9.05,0.71,5.13,-0.10,0.04,-0.00
107,9.11,0.76,5.04,-0.11,0.03,-0.00
108,9.13,0.74,4.96,-0.09,0.05,-0.01
109,9.07,0.74,5.01,-0.09,0.07,-0.01
110,8.94,0.72,5.10,-0.10,0.05,-0.01
111,9.06,0.75,5.02,-0.11,0.04,-0.01
112,9.14,0.80,5.00,-0.11,0.05,-0.01
113,9.10,0.80,5.09,-0.12,0.05,-0.01
114,9.07,0.76,5.04,-0.12,0.04,-0.02
115,9.07,0.73,5.07,-0.13,0.04,-0.03
116,9.07,0.73,5.06,-0.11,0.05,-0.03
117,9.05,0.75,5.09,-0.10,0.05,-0.02
118,9.01,0.75,5.10,-0.10,0.04,-0.01
119,9.07,0.79,5.00,-0.11,0.04,-0.01
120,9.11,0.77,5.00,-0.12,0.05,-0.01
121,9.06,0.73,5.01,-0.11,0.05,-0.01
122,9.09,0.72,5.03,-0.11,0.05,-0.02
123,9.07,0.74,5.02,-0.11,0.06,-0.02
124,9.03,0.77,5.05,-0.11,0.04,-0.01
125,9.10,0.75,5.03,-0.11,0.03,-0.01
126,9.11,0.83,5.05,-0.13,0.05,-0.02
127,9.08,0.65,4.88,-0.08,0.06,-0.01
128,9.06,0.76,4.98,-0.09,0.04,-0.02
129,9.04,0.86,5.05,-0.11,0.03,-0.01
130,9.13,0.78,4.98,-0.13,0.04,-0.00
131,9.18,0.74,4.98,-0.11,0.06,-0.01
132,9.10,0.81,4.94,-0.10,0.07,-0.02
133,8.95,0.78,4.96,-0.12,0.05,-0.01
134,9.03,0.74,4.96,-0.13,0.05,-0.01
135,9.14,0.79,5.04,-0.12,0.05,-0.01
136,9.15,0.77,5.07,-0.12,0.06,-0.02
137,9.08,0.77,4.92,-0.11,0.08,-0.01
138,9.03,0.76,4.97,-0.11,0.07,-0.01
139,9.04,0.73,4.98,-0.12,0.06,-0.00
140,9.07,0.73,4.95,-0.12,0.07,-0.00
141,9.09,0.78,5.01,-0.12,0.08,0.00
142,9.13,0.77,5.01,-0.12,0.06,0.00
143,9.08,0.74,5.01,-0.11,0.08,-0.01
144,9.04,0.73,5.06,-0.12,0.08,0.00
145,9.04,0.75,5.08,-0.12,0.06,0.01
146,9.14,0.73,5.02,-0.12,0.06,0.00
147,9.10,0.73,4.98,-0.12,0.09,-0.01
148,9.02,0.70,5.04,-0.12,0.11,-0.00
149,9.01,0.72,5.06,-0.13,0.08,-0.00
150,9.08,0.73,5.04,-0.13,0.09,-0.01
151,9.07,0.72,5.06,-0.13,0.11,-0.01
152,9.02,0.73,5.11,-0.14,0.09,-0.01
153,9.05,0.73,5.11,-0.13,0.11,-0.01
154,9.01,0.77,5.18,-0.16,0.10,-0.01
155,8.95,0.55,5.05,-0.11,0.11,-0.01
156,9.01,0.69,5.15,-0.12,0.12,-0.01
157,8.97,0.73,5.24,-0.13,0.10,-0.00
158,9.02,0.68,5.12,-0.14,0.11,-0.00
159,9.04,0.68,5.26,-0.13,0.12,-0.00
160,9.00,0.73,5.26,-0.11,0.10,-0.01
161,8.95,0.71,5.19,-0.11,0.09,-0.01
