STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,8.75,0.99,5.58,-0.11,0.06,-0.02
2,8.69,0.95,5.57,-0.11,0.06,-0.01
3,8.71,0.94,5.59,-0.11,0.06,-0.01
4,8.75,0.96,5.58,-0.11,0.05,-0.01
5,8.76,0.95,5.59,-0.11,0.05,-0.02
6,8.73,0.96,5.59,-0.11,0.06,-0.01
7,8.71,0.96,5.57,-0.11,0.06,-0.01
8,8.73,0.95,5.58,-0.11,0.06,-0.01
9,8.71,0.95,5.60,-0.11,0.06,-0.01
10,8.75,0.95,5.59,-0.11,0.06,-0.01
11,8.71,0.97,5.67,-0.12,0.07,-0.02
12,8.74,0.98,5.48,-0.10,0.05,-0.00
13,8.70,0.91,5.47,-0.08,0.07,-0.01
14,8.71,1.03,5.69,-0.12,0.06,-0.01
15,8.74,1.01,5.63,-0.12,0.03,-0.00
16,8.80,0.88,5.56,-0.12,0.05,-0.01
17,8.79,0.94,5.61,-0.11,0.06,-0.02
18,8.67,1.01,5.55,-0.10,0.05,-0.01
19,8.66,0.98,5.52,-0.11,0.05,-0.01
20,8.73,0.96,5.62,-0.12,0.05,-0.01
21,8.84,0.98,5.57,-0.12,0.04,-0.01
22,8.80,0.94,5.53,-0.11,0.05,-0.02
23,8.68,0.93,5.55,-0.09,0.08,-0.02
24,8.64,0.94,5.65,-0.10,0.07,-0.02
25,8.73,0.97,5.57,-0.12,0.06,-0.01
26,8.78,0.97,5.56,-0.11,0.06,-0.01
27,8.75,0.99,5.58,-0.11,0.06,-0.01
28,8.71,0.96,5.60,-0.11,0.06,-0.01
29,8.69,0.96,5.58,-0.12,0.06,-0.01
30,8.73,0.97,5.56,-0.11,0.06,-0.01
31,8.75,0.99,5.60,-0.11,0.05,-0.02
32,8.75,1.01,5.60,-0.11,0.06,-0.01
33,8.70,0.97,5.58,-0.11,0.06,-0.01
34,8.72,0.97,5.59,-0.11,0.06,-0.01
35,8.72,0.96,5.59,-0.11,0.05,-0.02
36,8.72,0.97,5.58,-0.11,0.05,-0.01
37,8.72,0.95,5.61,-0.12,0.06,-0.01
38,8.74,0.94,5.58,-0.11,0.06,-0.01
39,8.74,0.98,5.60,-0.11,0.06,-0.01
40,8.73,0.96,5.62,-0.11,0.05,-0.01
41,8.71,0.97,5.59,-0.11,0.06,-0.01
42,8.72,1.00,5.72,-0.13,0.06,-0.01
43,8.79,0.94,5.49,-0.10,0.05,-0.00
44,8.73,0.95,5.54,-0.08,0.07,-0.02
45,8.69,1.02,5.71,-0.12,0.06,-0.01
46,8.71,1.00,5.64,-0.13,0.03,0.00
47,8.82,0.92,5.60,-0.14,0.04,-0.00
48,8.81,0.95,5.62,-0.12,0.04,-0.01
49,8.71,0.98,5.58,-0.11,0.03,-0.02
50,8.66,0.94,5.56,-0.12,0.03,-0.01
51,8.75,0.96,5.60,-0.13,0.02,-0.00
52,8.83,0.95,5.55,-0.13,0.01,-0.01
53,8.78,0.96,5.51,-0.13,0.02,-0.01
54,8.72,0.94,5.49,-0.10,0.04,-0.01
55,8.71,0.93,5.57,-0.12,0.01,-0.01
56,8.80,0.94,5.51,-0.12,0.01,-0.01
57,8.79,0.91,5.54,-0.11,0.03,-0.01
58,8.76,0.95,5.53,-0.12,0.02,-0.00
59,8.74,0.93,5.52,-0.13,0.01,-0.00
60,8.83,0.94,5.50,-0.13,0.01,-0.01
61,8.84,0.94,5.47,-0.12,0.02,-0.01
62,8.83,0.92,5.47,-0.12,0.02,-0.01
63,8.81,0.94,5.45,-0.12,0.02,-0.01
64,8.81,0.92,5.45,-0.12,0.02,-0.01
65,8.82,0.89,5.45,-0.12,0.02,-0.01
66,8.82,0.92,5.42,-0.12,0.02,-0.01
67,8.83,0.93,5.43,-0.11,0.03,-0.01
68,8.85,0.95,5.41,-0.12,0.02,-0.01
