STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,9.45,1.39,4.11,-0.11,0.06,-0.01
2,9.42,1.40,4.11,-0.11,0.05,-0.01
3,9.47,1.40,4.13,-0.11,0.06,-0.01
4,9.46,1.41,4.15,-0.12,0.07,-0.02
5,9.45,1.47,4.00,-0.11,0.04,-0.01
6,9.42,1.31,3.99,-0.08,0.06,-0.02
7,9.40,1.45,4.22,-0.12,0.05,-0.01
8,9.48,1.41,4.08,-0.12,0.05,0.01
9,9.50,1.38,4.11,-0.12,0.06,-0.01
10,9.51,1.41,4.12,-0.11,0.05,-0.02
11,9.42,1.41,4.07,-0.11,0.05,-0.01
12,9.36,1.36,4.09,-0.11,0.05,-0.01
13,9.48,1.38,4.10,-0.11,0.05,-0.00
14,9.54,1.41,4.14,-0.11,0.05,-0.01
15,9.48,1.36,4.07,-0.10,0.07,-0.01
16,9.39,1.39,4.09,-0.10,0.07,-0.01
17,9.40,1.38,4.07,-0.11,0.05,-0.01
18,9.49,1.41,4.12,-0.11,0.06,-0.02
19,9.50,1.42,4.09,-0.10,0.06,-0.01
20,9.45,1.42,4.12,-0.11,0.07,-0.01
21,9.39,1.39,4.11,-0.12,0.06,-0.01
22,9.42,1.38,4.13,-0.12,0.05,-0.00
23,9.46,1.39,4.10,-0.11,0.05,-0.01
24,9.48,1.42,4.12,-0.11,0.05,-0.01
25,9.50,1.43,4.07,-0.11,0.06,-0.01
26,9.46,1.41,4.11,-0.11,0.05,-0.02
27,9.44,1.39,4.07,-0.11,0.05,-0.02
28,9.43,1.39,4.10,-0.11,0.06,-0.01
29,9.46,1.42,4.09,-0.11,0.06,-0.01
30,9.47,1.38,4.09,-0.11,0.06,-0.01
31,9.45,1.39,4.14,-0.11,0.06,-0.01
32,9.46,1.37,4.13,-0.11,0.06,-0.01
33,9.47,1.41,4.09,-0.11,0.06,-0.01
34,9.44,1.40,4.18,-0.12,0.05,-0.02
