STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,8.79,0.84,5.57,-0.12,0.05,-0.01
2,8.77,0.84,5.55,-0.12,0.05,-0.01
3,8.75,0.81,5.55,-0.12,0.05,-0.01
4,8.75,0.82,5.56,-0.12,0.04,-0.01
5,8.78,0.81,5.60,-0.12,0.03,-0.01
6,8.81,0.82,5.55,-0.12,0.03,-0.01
7,8.80,0.85,5.55,-0.12,0.04,-0.01
8,8.80,0.88,5.51,-0.12,0.00,-0.00
9,8.74,0.75,5.34,-0.08,0.02,-0.01
10,8.73,0.84,5.60,-0.12,0.03,-0.01
11,8.75,0.91,5.57,-0.13,-0.02,0.01
12,8.90,0.79,5.48,-0.14,-0.01,0.00
13,8.90,0.77,5.49,-0.13,0.01,-0.01
14,8.80,0.86,5.45,-0.11,0.01,-0.01
15,8.75,0.81,5.39,-0.12,-0.00,-0.01
16,8.83,0.77,5.43,-0.13,0.01,-0.00
17,8.93,0.79,5.42,-0.12,0.01,-0.00
18,8.93,0.82,5.37,-0.12,0.01,-0.01
19,8.84,0.77,5.33,-0.10,0.04,-0.02
20,8.77,0.77,5.41,-0.11,0.03,-0.01
21,8.86,0.81,5.41,-0.12,0.02,-0.01
22,8.93,0.78,5.37,-0.12,0.02,-0.01
23,8.93,0.79,5.37,-0.11,0.04,-0.01
24,8.85,0.79,5.37,-0.11,0.03,-0.01
25,8.82,0.79,5.36,-0.12,0.02,-0.01
26,8.89,0.82,5.37,-0.12,0.02,-0.01
27,8.93,0.77,5.36,-0.12,0.02,-0.01
28,8.96,0.79,5.37,-0.12,0.02,-0.01
29,8.91,0.78,5.30,-0.11,0.04,-0.02
30,8.89,0.79,5.30,-0.11,0.03,-0.02
31,8.89,0.78,5.30,-0.12,0.03,-0.01
32,8.92,0.78,5.35,-0.12,0.03,-0.01
33,8.94,0.76,5.34,-0.12,0.03,-0.01
34,8.94,0.79,5.33,-0.11,0.03,-0.01
35,8.86,0.84,5.34,-0.13,0.04,-0.01
36,8.93,0.77,5.13,-0.12,0.02,-0.00
37,8.86,0.69,5.17,-0.08,0.04,-0.02
38,8.90,0.82,5.34,-0.12,0.05,-0.01
39,8.93,0.84,5.27,-0.13,0.02,0.00
40,9.03,0.76,5.21,-0.12,0.06,-0.00
41,8.96,0.77,5.25,-0.11,0.06,-0.01
