STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,9.53,1.57,3.93,-0.08,0.06,0.00
2,9.59,1.56,3.99,-0.08,0.06,-0.00
3,9.62,1.61,3.85,-0.06,0.04,0.00
4,9.54,1.47,3.71,-0.03,0.09,-0.01
5,9.38,1.72,4.08,-0.07,0.07,-0.02
6,9.49,1.75,4.07,-0.10,-0.03,0.03
7,9.74,1.53,3.96,-0.12,0.03,-0.02
8,9.62,1.71,4.15,-0.12,0.01,-0.03
9,9.58,1.61,3.85,-0.13,-0.05,-0.01
10,9.49,1.68,3.88,-0.10,-0.03,-0.04
11,9.62,1.63,3.86,-0.12,-0.07,-0.01
12,9.68,1.60,3.77,-0.14,-0.05,-0.04
13,9.60,1.63,3.77,-0.12,-0.03,-0.03
14,9.62,1.52,3.68,-0.12,-0.04,-0.01
15,9.53,1.55,3.60,-0.13,0.04,-0.06
16,9.50,1.65,3.64,-0.16,0.02,-0.01
17,9.45,1.48,3.52,-0.17,0.04,-0.01
18,9.43,1.58,3.62,-0.17,0.05,-0.03
19,9.54,1.54,3.57,-0.17,0.05,0.01
20,9.60,1.50,3.59,-0.16,0.07,0.00
21,9.62,1.55,3.61,-0.13,0.08,-0.00
22,9.58,1.52,3.62,-0.11,0.08,-0.02
23,9.51,1.58,3.69,-0.10,0.07,-0.02
24,9.57,1.56,3.71,-0.10,0.05,-0.02
25,9.67,1.58,3.71,-0.09,0.06,-0.04
26,9.63,1.65,3.78,-0.10,0.08,-0.03
27,9.60,1.64,3.64,-0.11,0.04,-0.01
28,9.52,1.45,3.54,-0.07,0.07,-0.02
29,9.48,1.67,3.84,-0.10,0.05,-0.02
30,9.57,1.68,3.66,-0.12,0.04,0.01
31,9.70,1.58,3.73,-0.12,0.05,-0.01
32,9.71,1.59,3.70,-0.12,0.06,-0.02
33,9.56,1.61,3.68,-0.12,0.06,-0.02
34,9.48,1.59,3.68,-0.10,0.06,-0.02
35,9.52,1.63,3.73,-0.11,0.05,-0.01
36,9.64,1.63,3.73,-0.12,0.04,-0.01
37,9.66,1.58,3.71,-0.12,0.07,-0.02
38,9.57,1.56,3.68,-0.11,0.06,-0.01
39,9.49,1.58,3.68,-0.11,0.06,-0.01
40,9.60,1.60,3.66,-0.10,0.05,-0.01
41,9.64,1.55,3.73,-0.12,0.06,-0.01
42,9.62,1.57,3.73,-0.12,0.05,-0.01
43,9.57,1.58,3.68,-0.12,0.06,-0.01
44,9.56,1.60,3.69,-0.11,0.06,-0.01
45,9.61,1.59,3.70,-0.11,0.06,-0.01
46,9.56,1.61,3.72,-0.12,0.06,-0.01
47,9.54,1.59,3.73,-0.12,0.05,-0.01
48,9.64,1.58,3.68,-0.11,0.05,-0.02
49,9.63,1.60,3.65,-0.11,0.07,-0.02
50,9.54,1.64,3.73,-0.11,0.06,-0.02
51,9.58,1.59,3.68,-0.11,0.05,-0.02
52,9.62,1.58,3.72,-0.12,0.06,-0.02
53,9.61,1.65,3.68,-0.12,0.05,-0.01
54,9.57,1.44,3.58,-0.08,0.06,-0.01
55,9.46,1.62,3.80,-0.10,0.05,-0.01
56,9.53,1.68,3.66,-0.11,0.03,0.01
57,9.68,1.55,3.74,-0.12,0.05,-0.01
58,9.71,1.62,3.69,-0.12,0.04,-0.02
59,9.54,1.63,3.66,-0.12,0.06,-0.01
60,9.47,1.57,3.68,-0.11,0.06,-0.01
61,9.56,1.58,3.73,-0.10,0.05,-0.01
62,9.66,1.63,3.74,-0.12,0.04,-0.01
63,9.69,1.58,3.67,-0.11,0.07,-0.02
64,9.57,1.60,3.71,-0.10,0.06,-0.02
65,9.48,1.62,3.63,-0.11,0.07,-0.02
66,9.57,1.61,3.68,-0.10,0.04,-0.01
67,9.67,1.56,3.68,-0.11,0.06,-0.01
68,9.62,1.59,3.74,-0.12,0.07,-0.01
69,9.53,1.57,3.71,-0.11,0.06,-0.01
70,9.52,1.58,3.70,-0.11,0.06,-0.01
71,9.63,1.61,3.69,-0.11,0.06,-0.01
72,9.61,1.62,3.69,-0.12,0.06,-0.02
73,9.58,1.61,3.70,-0.11,0.05,-0.01
74,9.56,1.61,3.70,-0.12,0.06,-0.02
75,9.54,1.59,3.69,-0.11,0.06,-0.02
76,9.58,1.63,3.73,-0.11,0.06,-0.01
77,9.58,1.62,3.72,-0.11,0.06,-0.01
78,9.57,1.58,3.68,-0.11,0.06,-0.01
79,9.57,1.58,3.71,-0.11,0.07,-0.01
80,9.57,1.58,3.73,-0.11,0.06,-0.01
81,9.60,1.60,3.68,-0.11,0.05,-0.01
82,9.58,1.64,3.78,-0.13,0.06,-0.02
83,9.62,1.49,3.57,-0.10,0.05,-0.00
84,9.51,1.54,3.76,-0.07,0.07,-0.02
85,9.52,1.74,3.83,-0.11,0.03,0.00
86,9.62,1.58,3.68,-0.12,0.05,0.00
87,9.70,1.58,3.73,-0.12,0.05,-0.02
88,9.62,1.63,3.70,-0.12,0.06,-0.01
89,9.48,1.58,3.70,-0.11,0.06,-0.01
90,9.53,1.55,3.73,-0.10,0.05,-0.01
91,9.63,1.62,3.72,-0.11,0.04,-0.01
92,9.70,1.63,3.69,-0.12,0.05,-0.01
93,9.58,1.56,3.74,-0.11,0.08,-0.02
94,9.49,1.59,3.70,-0.11,0.06,-0.01
95,9.53,1.62,3.76,-0.10,0.06,-0.02
96,9.62,1.62,3.70,-0.11,0.05,-0.01
97,9.63,1.61,3.73,-0.11,0.07,-0.01
98,9.58,1.58,3.71,-0.10,0.06,-0.02
99,9.55,1.59,3.69,-0.10,0.07,-0.02
100,9.59,1.63,3.74,-0.11,0.06,-0.03
101,9.58,1.62,3.74,-0.11,0.05,-0.01
102,9.55,1.63,3.72,-0.12,0.05,-0.01
103,9.58,1.62,3.71,-0.11,0.06,-0.01
104,9.60,1.60,3.74,-0.12,0.05,-0.01
105,9.60,1.60,3.72,-0.12,0.06,-0.01
106,9.58,1.63,3.71,-0.12,0.06,-0.01
107,9.56,1.63,3.72,-0.12,0.06,-0.01
108,9.60,1.60,3.73,-0.11,0.06,-0.01
109,9.60,1.60,3.74,-0.12,0.06,-0.01
110,9.57,1.58,3.74,-0.11,0.06,-0.02
111,9.52,1.64,3.88,-0.15,0.04,-0.01
112,9.58,1.63,3.67,-0.14,0.01,-0.01
113,9.58,1.50,3.57,-0.10,0.03,-0.02
114,9.53,1.62,3.77,-0.09,0.03,-0.02
115,9.53,1.67,3.66,-0.11,0.01,0.01
116,9.62,1.54,3.68,-0.11,0.03,-0.00
117,9.69,1.61,3.70,-0.11,0.04,-0.02
118,9.58,1.62,3.70,-0.12,0.06,-0.01
119,9.49,1.55,3.64,-0.11,0.06,-0.01
120,9.54,1.60,3.68,-0.10,0.05,-0.01
121,9.67,1.63,3.69,-0.12,0.04,-0.01
122,9.71,1.55,3.59,-0.11,0.07,-0.01
123,9.60,1.56,3.70,-0.10,0.07,-0.02
124,9.51,1.57,3.63,-0.11,0.06,-0.01
125,9.56,1.58,3.71,-0.10,0.05,-0.02
126,9.68,1.61,3.70,-0.11,0.06,-0.01
127,9.62,1.61,3.71,-0.12,0.07,-0.01
128,9.57,1.57,3.68,-0.12,0.07,-0.01
129,9.53,1.59,3.68,-0.11,0.06,-0.01
130,9.62,1.60,3.67,-0.11,0.05,-0.01
