STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,9.55,1.55,3.88,-0.10,0.07,-0.01
2,9.45,1.60,3.94,-0.10,0.06,-0.02
3,9.45,1.57,3.88,-0.11,0.05,-0.01
4,9.50,1.59,3.95,-0.11,0.05,-0.02
5,9.58,1.59,3.89,-0.11,0.06,-0.01
6,9.52,1.60,3.94,-0.11,0.06,-0.01
7,9.43,1.59,3.91,-0.12,0.06,-0.01
8,9.49,1.58,3.94,-0.12,0.06,-0.01
9,9.54,1.60,3.95,-0.11,0.06,-0.01
10,9.53,1.58,3.94,-0.11,0.06,-0.01
11,9.52,1.58,3.91,-0.11,0.05,-0.01
12,9.50,1.62,3.89,-0.11,0.06,-0.01
13,9.51,1.60,3.93,-0.11,0.05,-0.01
14,9.50,1.60,3.92,-0.12,0.06,-0.01
15,9.48,1.58,3.89,-0.11,0.06,-0.01
16,9.50,1.60,3.91,-0.11,0.06,-0.01
17,9.53,1.57,3.93,-0.11,0.05,-0.01
18,9.54,1.57,3.94,-0.12,0.06,-0.01
19,9.49,1.62,3.94,-0.11,0.06,-0.02
20,9.48,1.69,3.86,-0.12,0.04,-0.01
21,9.46,1.46,3.82,-0.08,0.06,-0.01
22,9.47,1.62,4.00,-0.11,0.06,-0.01
23,9.47,1.68,3.90,-0.11,0.04,0.01
24,9.59,1.56,3.94,-0.14,0.05,-0.00
25,9.57,1.58,3.95,-0.10,0.05,-0.02
26,9.49,1.60,3.90,-0.11,0.06,-0.01
27,9.40,1.58,3.85,-0.11,0.05,-0.01
28,9.46,1.57,3.94,-0.11,0.05,-0.01
29,9.61,1.60,3.96,-0.12,0.05,-0.01
30,9.59,1.59,3.88,-0.11,0.07,-0.01
31,9.41,1.57,3.93,-0.11,0.07,-0.02
32,9.43,1.55,3.91,-0.11,0.05,-0.01
33,9.50,1.59,3.95,-0.12,0.05,-0.02
34,9.57,1.57,3.90,-0.10,0.06,-0.01
35,9.50,1.61,3.95,-0.11,0.06,-0.01
36,9.47,1.60,3.92,-0.11,0.06,-0.01
37,9.49,1.58,3.92,-0.12,0.06,-0.01
38,9.50,1.60,3.91,-0.11,0.06,-0.01
39,9.52,1.59,3.92,-0.11,0.06,-0.01
40,9.49,1.60,3.91,-0.11,0.05,-0.01
41,9.48,1.63,3.93,-0.11,0.06,-0.01
42,9.50,1.60,3.95,-0.11,0.05,-0.02
43,9.50,1.60,3.92,-0.11,0.06,-0.02
44,9.46,1.60,3.90,-0.11,0.06,-0.01
45,9.50,1.61,3.95,-0.11,0.06,-0.01
46,9.50,1.58,3.92,-0.11,0.05,-0.01
47,9.52,1.58,3.92,-0.12,0.06,-0.01
48,9.49,1.59,3.97,-0.11,0.07,-0.01
49,9.49,1.64,3.87,-0.12,0.04,-0.01
50,9.50,1.46,3.82,-0.08,0.06,-0.01
51,9.48,1.63,4.01,-0.11,0.06,-0.02
52,9.50,1.66,3.88,-0.11,0.05,0.00
53,9.53,1.57,3.93,-0.13,0.06,-0.01
54,9.55,1.57,3.94,-0.09,0.05,-0.01
55,9.50,1.59,3.89,-0.11,0.05,-0.01
56,9.40,1.58,3.88,-0.11,0.05,-0.01
57,9.48,1.59,3.97,-0.10,0.05,-0.01
58,9.62,1.62,3.96,-0.11,0.05,-0.01
59,9.57,1.58,3.91,-0.10,0.06,-0.01
60,9.42,1.58,3.97,-0.10,0.06,-0.02
61,9.43,1.56,3.85,-0.10,0.05,-0.01
62,9.49,1.60,3.92,-0.12,0.05,-0.01
63,9.58,1.61,3.86,-0.11,0.06,-0.01
64,9.54,1.62,3.96,-0.11,0.06,-0.01
65,9.48,1.59,3.92,-0.11,0.06,-0.01
66,9.47,1.56,3.92,-0.11,0.07,-0.01
67,9.50,1.58,3.90,-0.11,0.06,-0.01
68,9.50,1.61,3.94,-0.12,0.05,-0.01
69,9.52,1.62,3.96,-0.11,0.05,-0.01
70,9.51,1.58,3.91,-0.11,0.06,-0.01
71,9.49,1.59,3.93,-0.11,0.05,-0.02
72,9.48,1.60,3.94,-0.11,0.06,-0.01
73,9.50,1.57,3.90,-0.12,0.06,-0.01
74,9.50,1.59,3.94,-0.11,0.06,-0.01
75,9.50,1.58,3.91,-0.11,0.06,-0.01
76,9.54,1.58,3.90,-0.11,0.06,-0.01
77,9.50,1.60,3.95,-0.11,0.06,-0.02
78,9.47,1.62,3.97,-0.12,0.06,-0.02
79,9.52,1.61,3.78,-0.10,0.05,0.00
80,9.50,1.57,3.90,-0.08,0.07,-0.02
81,9.47,1.68,4.02,-0.11,0.05,-0.01
82,9.50,1.62,3.91,-0.13,0.05,0.01
83,9.56,1.55,3.99,-0.12,0.05,-0.01
84,9.55,1.60,3.91,-0.10,0.05,-0.01
85,9.42,1.60,3.90,-0.11,0.05,-0.01
86,9.42,1.61,3.92,-0.11,0.05,-0.01
