STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,8.74,0.96,5.58,-0.11,0.06,-0.02
2,8.68,0.97,5.52,-0.09,0.05,-0.02
3,8.69,0.93,5.57,-0.11,0.07,-0.01
4,8.71,0.91,5.66,-0.10,0.06,-0.00
5,8.83,0.94,5.59,-0.12,0.05,-0.01
6,8.80,0.94,5.52,-0.12,0.05,-0.01
7,8.72,0.90,5.54,-0.09,0.08,-0.02
8,8.69,0.91,5.64,-0.11,0.06,-0.02
9,8.75,0.92,5.57,-0.11,0.06,-0.01
10,8.75,0.93,5.58,-0.11,0.06,-0.01
11,8.72,0.94,5.60,-0.11,0.06,-0.01
12,8.71,0.93,5.57,-0.12,0.06,-0.01
13,8.71,0.94,5.60,-0.12,0.06,-0.01
14,8.77,0.95,5.60,-0.11,0.06,-0.01
15,8.78,0.96,5.58,-0.11,0.06,-0.02
16,8.72,0.95,5.59,-0.11,0.06,-0.02
17,8.70,0.94,5.58,-0.11,0.06,-0.01
18,8.71,0.94,5.60,-0.11,0.05,-0.01
19,8.73,0.96,5.57,-0.11,0.05,-0.01
20,8.72,0.94,5.58,-0.11,0.05,-0.01
21,8.71,0.93,5.61,-0.12,0.05,-0.01
22,8.72,0.94,5.58,-0.12,0.05,-0.01
23,8.73,0.90,5.59,-0.12,0.06,-0.01
24,8.76,0.95,5.56,-0.11,0.06,-0.01
25,8.72,0.94,5.58,-0.11,0.06,-0.01
26,8.71,0.92,5.57,-0.12,0.05,-0.01
27,8.75,0.95,5.56,-0.12,0.06,-0.01
28,8.71,0.99,5.67,-0.14,0.05,-0.01
29,8.74,0.83,5.42,-0.10,0.05,-0.00
30,8.71,0.91,5.61,-0.09,0.07,-0.02
31,8.71,1.02,5.76,-0.12,0.04,0.00
32,8.74,0.93,5.56,-0.13,0.01,0.00
33,8.83,0.87,5.62,-0.14,0.02,-0.00
34,8.81,0.93,5.56,-0.12,0.03,-0.01
35,8.71,0.94,5.55,-0.11,0.02,-0.02
36,8.68,0.89,5.54,-0.13,0.01,-0.01
37,8.79,0.90,5.59,-0.13,0.00,-0.00
38,8.86,0.91,5.56,-0.14,-0.00,-0.01
39,8.84,0.90,5.48,-0.12,0.01,-0.02
40,8.76,0.86,5.47,-0.09,0.04,-0.02
41,8.68,0.89,5.54,-0.11,0.02,-0.02
42,8.77,0.90,5.49,-0.12,0.01,-0.00
43,8.85,0.91,5.44,-0.12,0.01,-0.00
44,8.88,0.92,5.46,-0.12,0.01,-0.01
45,8.85,0.88,5.43,-0.11,0.02,-0.01
46,8.75,0.91,5.45,-0.12,0.02,-0.01
47,8.80,0.91,5.45,-0.12,0.01,-0.00
48,8.86,0.89,5.44,-0.13,0.01,-0.01
49,8.87,0.92,5.41,-0.12,0.02,-0.01
50,8.82,0.88,5.40,-0.12,0.03,-0.01
51,8.83,0.88,5.41,-0.12,0.02,-0.01
52,8.86,0.88,5.40,-0.13,0.02,-0.01
53,8.88,0.85,5.37,-0.12,0.02,-0.01
54,8.88,0.88,5.37,-0.11,0.04,-0.01
55,8.85,0.90,5.38,-0.11,0.03,-0.01
56,8.87,0.88,5.35,-0.12,0.03,-0.01
57,8.87,0.88,5.38,-0.12,0.02,-0.01
58,8.89,0.92,5.43,-0.13,0.02,-0.01
59,8.92,0.79,5.21,-0.11,0.02,-0.00
60,8.83,0.85,5.30,-0.09,0.02,-0.01
61,8.87,0.92,5.46,-0.12,0.01,-0.01
62,8.93,0.92,5.28,-0.13,-0.01,-0.00
