STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,9.47,1.37,4.06,-0.11,0.06,-0.02
2,9.49,1.40,4.04,-0.10,0.06,-0.02
3,9.46,1.42,4.04,-0.11,0.06,-0.01
4,9.46,1.39,4.06,-0.12,0.06,-0.01
5,9.44,1.37,4.06,-0.11,0.06,-0.01
6,9.51,1.39,4.03,-0.11,0.05,-0.01
7,9.51,1.41,4.04,-0.11,0.06,-0.02
8,9.45,1.39,4.07,-0.12,0.05,-0.01
9,9.49,1.37,4.02,-0.12,0.05,-0.01
10,9.50,1.39,4.01,-0.11,0.05,-0.01
11,9.48,1.39,4.02,-0.11,0.06,-0.02
12,9.45,1.44,4.05,-0.12,0.05,-0.01
13,9.47,1.37,4.05,-0.12,0.05,-0.01
14,9.52,1.34,4.03,-0.11,0.06,-0.01
15,9.49,1.40,4.04,-0.10,0.06,-0.02
16,9.51,1.41,4.02,-0.10,0.05,-0.02
17,9.50,1.40,4.05,-0.11,0.05,-0.02
18,9.46,1.41,4.06,-0.12,0.06,-0.02
19,9.48,1.42,3.95,-0.11,0.04,-0.00
20,9.48,1.35,3.91,-0.08,0.06,-0.02
21,9.45,1.46,4.15,-0.11,0.05,-0.01
22,9.49,1.42,4.02,-0.12,0.04,0.00
23,9.54,1.38,4.05,-0.11,0.06,-0.02
24,9.53,1.43,4.06,-0.11,0.05,-0.02
25,9.43,1.41,4.02,-0.11,0.06,-0.01
26,9.45,1.39,4.02,-0.11,0.05,-0.01
27,9.50,1.37,4.04,-0.10,0.04,-0.01
28,9.54,1.40,4.08,-0.12,0.05,-0.01
29,9.50,1.39,4.01,-0.11,0.08,-0.01
30,9.46,1.40,4.04,-0.10,0.06,-0.01
31,9.43,1.38,4.01,-0.11,0.06,-0.01
32,9.51,1.38,4.03,-0.10,0.05,-0.01
33,9.54,1.42,4.03,-0.11,0.06,-0.01
34,9.48,1.41,4.05,-0.11,0.07,-0.01
35,9.44,1.36,4.06,-0.11,0.06,-0.01
36,9.48,1.38,4.03,-0.11,0.05,-0.01
