STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,9.43,1.29,4.18,-0.11,0.06,-0.02
2,9.45,1.28,4.19,-0.12,0.06,-0.01
3,9.45,1.29,4.17,-0.11,0.06,-0.01
4,9.42,1.26,4.19,-0.11,0.05,-0.01
5,9.42,1.27,4.19,-0.11,0.06,-0.02
6,9.43,1.28,4.19,-0.12,0.06,-0.01
7,9.44,1.37,4.17,-0.12,0.04,-0.01
8,9.42,1.15,4.03,-0.09,0.06,-0.01
9,9.36,1.32,4.24,-0.11,0.06,-0.02
10,9.45,1.34,4.16,-0.11,0.05,0.01
11,9.55,1.25,4.17,-0.12,0.06,-0.00
12,9.57,1.31,4.19,-0.10,0.05,-0.03
13,9.41,1.30,4.16,-0.10,0.06,-0.03
14,9.27,1.29,4.18,-0.11,0.06,-0.02
15,9.39,1.23,4.19,-0.12,0.05,-0.00
16,9.52,1.30,4.26,-0.12,0.05,-0.01
17,9.54,1.28,4.12,-0.11,0.06,-0.00
18,9.44,1.28,4.17,-0.10,0.08,-0.01
19,9.38,1.25,4.14,-0.11,0.06,-0.01
20,9.38,1.28,4.19,-0.12,0.06,-0.01
21,9.48,1.28,4.17,-0.11,0.05,-0.01
22,9.48,1.31,4.18,-0.11,0.06,-0.01
23,9.44,1.27,4.19,-0.11,0.06,-0.01
24,9.42,1.27,4.20,-0.11,0.06,-0.01
25,9.45,1.27,4.20,-0.11,0.05,-0.01
26,9.46,1.28,4.18,-0.11,0.05,-0.01
27,9.43,1.25,4.19,-0.12,0.05,-0.01
28,9.46,1.26,4.18,-0.11,0.06,-0.01
29,9.46,1.26,4.17,-0.11,0.05,-0.02
30,9.43,1.26,4.19,-0.11,0.06,-0.02
31,9.41,1.25,4.19,-0.12,0.06,-0.01
32,9.46,1.28,4.17,-0.12,0.06,-0.01
33,9.48,1.27,4.17,-0.11,0.06,-0.02
34,9.42,1.28,4.20,-0.11,0.06,-0.02
35,9.42,1.28,4.19,-0.11,0.05,-0.02
36,9.45,1.27,4.20,-0.11,0.05,-0.02
37,9.39,1.29,4.26,-0.13,0.05,-0.02
38,9.46,1.23,4.01,-0.10,0.05,-0.00
39,9.41,1.27,4.20,-0.08,0.08,-0.02
40,9.36,1.37,4.28,-0.11,0.04,0.00
41,9.46,1.25,4.15,-0.13,0.05,0.01
42,9.54,1.22,4.22,-0.12,0.04,-0.02
43,9.50,1.30,4.17,-0.10,0.05,-0.02
44,9.34,1.30,4.14,-0.11,0.06,-0.02
45,9.39,1.21,4.15,-0.12,0.06,-0.00
46,9.50,1.24,4.23,-0.11,0.05,-0.01
47,9.54,1.31,4.17,-0.11,0.05,-0.01
48,9.44,1.25,4.18,-0.11,0.08,-0.02
49,9.42,1.26,4.18,-0.10,0.06,-0.01
50,9.37,1.27,4.15,-0.12,0.06,-0.02
51,9.44,1.28,4.19,-0.11,0.05,-0.01
52,9.50,1.26,4.19,-0.11,0.06,-0.01
53,9.46,1.27,4.19,-0.11,0.07,-0.01
54,9.43,1.25,4.20,-0.11,0.06,-0.01
55,9.42,1.25,4.18,-0.11,0.06,-0.01
56,9.43,1.29,4.19,-0.11,0.05,-0.01
57,9.44,1.28,4.20,-0.12,0.05,-0.01
58,9.45,1.28,4.16,-0.11,0.06,-0.01
59,9.41,1.28,4.17,-0.11,0.05,-0.02
60,9.42,1.27,4.20,-0.11,0.05,-0.02
61,9.44,1.27,4.18,-0.11,0.06,-0.01
62,9.45,1.29,4.17,-0.11,0.06,-0.01
63,9.44,1.29,4.16,-0.11,0.06,-0.02
64,9.42,1.29,4.16,-0.11,0.06,-0.02
65,9.42,1.28,4.19,-0.11,0.06,-0.01
66,9.43,1.28,4.19,-0.11,0.06,-0.01
67,9.46,1.29,4.19,-0.11,0.06,-0.01
68,9.42,1.33,4.26,-0.13,0.04,-0.01
69,9.44,1.16,4.02,-0.10,0.06,-0.00
70,9.38,1.27,4.26,-0.09,0.07,-0.02
71,9.37,1.37,4.24,-0.11,0.04,0.01
72,9.48,1.25,4.14,-0.13,0.05,0.01
73,9.57,1.24,4.22,-0.11,0.05,-0.02
74,9.46,1.31,4.15,-0.11,0.05,-0.02
75,9.33,1.30,4.14,-0.11,0.05,-0.01
76,9.39,1.23,4.18,-0.11,0.05,-0.00
77,9.48,1.27,4.26,-0.12,0.04,-0.00
78,9.52,1.31,4.14,-0.12,0.03,-0.01
79,9.43,1.22,4.14,-0.12,0.06,-0.02
80,9.41,1.27,4.13,-0.10,0.05,-0.01
81,9.41,1.24,4.18,-0.12,0.06,-0.02
82,9.48,1.27,4.15,-0.10,0.06,-0.01
83,9.47,1.27,4.17,-0.11,0.06,-0.01
84,9.43,1.25,4.17,-0.12,0.06,-0.01
85,9.43,1.25,4.20,-0.11,0.06,-0.01
86,9.47,1.25,4.18,-0.11,0.06,-0.01
87,9.49,1.28,4.16,-0.11,0.06,-0.02
88,9.44,1.28,4.14,-0.11,0.06,-0.01
89,9.45,1.25,4.17,-0.11,0.06,-0.01
90,9.45,1.25,4.19,-0.11,0.06,-0.02
91,9.46,1.27,4.19,-0.11,0.06,-0.02
92,9.44,1.29,4.18,-0.11,0.06,-0.01
93,9.43,1.29,4.19,-0.11,0.06,-0.01
94,9.44,1.27,4.16,-0.11,0.06,-0.01
95,9.42,1.25,4.18,-0.11,0.06,-0.02
96,9.45,1.25,4.19,-0.11,0.06,-0.01
97,9.46,1.26,4.20,-0.11,0.06,-0.02
98,9.44,1.30,4.17,-0.12,0.06,-0.01
99,9.44,1.34,4.22,-0.13,0.04,-0.01
100,9.43,1.11,4.05,-0.09,0.06,-0.01
101,9.40,1.29,4.24,-0.11,0.06,-0.02
102,9.42,1.35,4.19,-0.11,0.04,0.01
103,9.50,1.24,4.16,-0.13,0.04,0.00
104,9.52,1.23,4.22,-0.11,0.04,-0.02
105,9.44,1.30,4.13,-0.11,0.04,-0.01
106,9.37,1.30,4.10,-0.11,0.05,-0.01
107,9.45,1.24,4.15,-0.11,0.05,-0.00
108,9.49,1.28,4.22,-0.12,0.05,-0.01
109,9.50,1.27,4.15,-0.11,0.06,-0.01
110,9.42,1.24,4.16,-0.11,0.07,-0.02
111,9.41,1.25,4.14,-0.10,0.06,-0.01
112,9.41,1.26,4.19,-0.12,0.06,-0.02
113,9.48,1.27,4.19,-0.11,0.05,-0.01
114,9.50,1.27,4.19,-0.11,0.06,-0.01
115,9.41,1.25,4.19,-0.11,0.06,-0.01
116,9.40,1.25,4.16,-0.12,0.06,-0.01
117,9.44,1.27,4.19,-0.12,0.05,-0.01
118,9.47,1.28,4.18,-0.11,0.05,-0.01
119,9.45,1.28,4.19,-0.11,0.06,-0.01
120,9.41,1.26,4.15,-0.11,0.06,-0.01
121,9.44,1.28,4.14,-0.12,0.05,-0.02
122,9.47,1.26,4.19,-0.11,0.06,-0.02
123,9.45,1.27,4.17,-0.11,0.06,-0.02
124,9.44,1.28,4.14,-0.11,0.06,-0.02
125,9.43,1.30,4.15,-0.11,0.06,-0.02
126,9.45,1.27,4.18,-0.11,0.06,-0.01
127,9.48,1.26,4.18,-0.11,0.06,-0.01
128,9.44,1.28,4.18,-0.11,0.06,-0.02
129,9.43,1.34,4.22,-0.13,0.05,-0.02
130,9.46,1.19,4.07,-0.10,0.06,-0.00
131,9.40,1.31,4.22,-0.09,0.07,-0.02
132,9.39,1.35,4.25,-0.10,0.04,0.00
133,9.49,1.27,4.17,-0.13,0.04,0.01
134,9.53,1.27,4.20,-0.11,0.05,-0.01
135,9.48,1.29,4.15,-0.11,0.05,-0.01
136,9.35,1.29,4.14,-0.10,0.06,-0.01
137,9.38,1.24,4.12,-0.12,0.05,-0.01
138,9.49,1.26,4.22,-0.12,0.05,-0.01
139,9.52,1.27,4.22,-0.11,0.05,-0.01
140,9.44,1.22,4.17,-0.11,0.08,-0.02
141,9.39,1.25,4.16,-0.09,0.06,-0.01
142,9.42,1.24,4.17,-0.12,0.06,-0.01
143,9.46,1.24,4.17,-0.11,0.05,-0.02
144,9.50,1.28,4.19,-0.11,0.06,-0.01
145,9.45,1.29,4.17,-0.11,0.07,-0.01
146,9.41,1.28,4.20,-0.12,0.07,-0.01
147,9.44,1.26,4.21,-0.12,0.05,-0.01
148,9.47,1.27,4.19,-0.11,0.05,-0.01
149,9.44,1.27,4.16,-0.11,0.06,-0.02
150,9.41,1.29,4.16,-0.12,0.06,-0.01
151,9.44,1.29,4.17,-0.11,0.05,-0.02
152,9.45,1.24,4.19,-0.11,0.05,-0.02
153,9.42,1.26,4.16,-0.11,0.06,-0.02
154,9.43,1.31,4.17,-0.12,0.06,-0.01
155,9.45,1.28,4.18,-0.11,0.06,-0.01
