STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,8.80,0.76,5.55,-0.12,0.06,-0.01
2,8.78,0.71,5.54,-0.12,0.06,-0.01
3,8.78,0.74,5.55,-0.11,0.06,-0.01
4,8.79,0.73,5.54,-0.11,0.06,-0.01
5,8.80,0.76,5.53,-0.11,0.06,-0.01
6,8.77,0.75,5.49,-0.12,0.05,-0.01
7,8.80,0.73,5.50,-0.12,0.06,-0.02
8,8.81,0.74,5.53,-0.11,0.06,-0.02
9,8.78,0.76,5.53,-0.11,0.05,-0.02
10,8.78,0.78,5.52,-0.11,0.06,-0.01
11,8.80,0.77,5.54,-0.12,0.06,-0.01
12,8.81,0.75,5.51,-0.11,0.06,-0.02
13,8.78,0.73,5.54,-0.11,0.06,-0.02
14,8.78,0.75,5.53,-0.12,0.06,-0.02
15,8.79,0.76,5.54,-0.11,0.07,-0.01
16,8.81,0.74,5.54,-0.11,0.06,-0.01
17,8.78,0.74,5.52,-0.11,0.06,-0.01
18,8.74,0.75,5.52,-0.11,0.06,-0.01
19,8.75,0.79,5.61,-0.14,0.04,-0.01
20,8.80,0.61,5.39,-0.09,0.06,-0.00
21,8.76,0.72,5.58,-0.09,0.08,-0.02
22,8.72,0.81,5.67,-0.12,0.04,-0.00
23,8.82,0.75,5.48,-0.12,0.02,0.00
24,8.85,0.70,5.57,-0.12,0.05,-0.01
25,8.79,0.75,5.60,-0.11,0.04,-0.01
26,8.75,0.75,5.51,-0.09,-0.00,-0.01
27,8.79,0.70,5.48,-0.11,0.04,-0.01
28,8.83,0.74,5.54,-0.12,0.03,-0.01
29,8.87,0.77,5.49,-0.12,0.02,-0.01
30,8.82,0.74,5.43,-0.11,0.04,-0.01
31,8.78,0.73,5.41,-0.10,0.06,-0.02
32,8.77,0.71,5.53,-0.13,0.05,-0.02
33,8.81,0.74,5.54,-0.12,0.03,-0.01
34,8.87,0.73,5.46,-0.11,0.04,-0.01
35,8.79,0.76,5.56,-0.10,0.03,-0.01
36,8.82,0.71,5.46,-0.10,-0.02,-0.00
37,8.88,0.73,5.41,-0.10,0.02,-0.02
38,8.83,0.75,5.54,-0.11,0.01,-0.01
39,8.83,0.71,5.36,-0.11,0.00,-0.01
40,8.84,0.72,5.37,-0.11,0.03,-0.02
41,8.83,0.77,5.34,-0.11,0.02,-0.01
42,8.88,0.75,5.34,-0.12,0.03,-0.01
43,8.86,0.77,5.36,-0.11,0.06,-0.02
44,8.84,0.74,5.36,-0.11,0.06,-0.01
45,8.84,0.76,5.41,-0.12,0.04,-0.01
46,8.92,0.77,5.42,-0.12,0.03,-0.01
47,8.94,0.74,5.35,-0.11,0.05,-0.02
48,8.85,0.73,5.41,-0.10,0.06,-0.02
49,8.81,0.73,5.40,-0.11,0.04,-0.01
50,8.87,0.73,5.39,-0.11,0.02,-0.01
51,8.94,0.74,5.38,-0.11,0.03,-0.01
